source_id,nbs_id,family,tables,citation,doi,url,access_status,blocker,access_route,target_library_path,status,assigned,date_added,note,doi_verified
philpott2005_biodiv_yield_certification,agroforestry,shaded_perennial,T6,Baumgärtner (2006). The ecological economics of biodiversity methods and policy applications. Ecological Economics.,10.1016/j.ecolecon.2005.09.028,https://sites.evergreen.edu/politicalshakespeares/wp-content/uploads/sites/263/2017/02/Perfecto-et-al._2005_Biodiversity-yield-coffee.pdf,oa,OA (websearch:university-repo/high),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/philpott2005_biodiv_yield_certification.pdf,pending,Namita-J,2026-08-05,Seminal certification/yield/biodiversity trade-off. Institutional download. | free PDF via university-repo [high]: https://sites.evergreen.edu/politicalshakespeares/wp-content/uploads/sites/263/2017/02/Perfecto-et-al._2005_Biodiversity-yield-coffee.pdf,true
wartenberg2024_lowemission_profitable_cocoa_ghana,agroforestry,shaded_perennial,T6,"Wartenberg A. et al. (2024). Low-emissions and profitable cocoa through moderate-shade agroforestry: insights from Ghana. Agriculture, Ecosystems & Environment.",,https://www.sciencedirect.com/science/article/pii/S0167880924000793,oa,OA (websearch:publisher-OA/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/wartenberg2024_lowemission_profitable_cocoa_ghana.pdf,pending,Namita-J,2026-08-05,Profitability + cost_per_tCO2e-relevant. Confirm DOI on retrieval; may have green OA copy — check repository before institutional pull. | free PDF via publisher-OA [med]: https://www.sciencedirect.com/science/article/pii/S0167880924000793 | DOI FAILED verification (doi_unresolved); original DOI blanked — acquire by TITLE.,false
shade_vs_intensification_2023_profitability,agroforestry,shaded_perennial,T6,(2023). Shade versus intensification: trade-off or synergy for profitability in coffee agroforestry systems? (OpenAlex W4389586869).,,https://gala.gre.ac.uk/id/eprint/45113/13/45113_LALANI_%20Shade_versus_intensification_Trade_off_or_synergy.pdf,oa,OA (websearch:university-repo/high),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/shade_vs_intensification_2023_profitability.pdf,pending,Namita-J,2026-08-05,Resolve DOI via OpenAlex record; check for hybrid OA / green copy before institutional download. | free PDF via university-repo [high]: https://gala.gre.ac.uk/id/eprint/45113/13/45113_LALANI_%20Shade_versus_intensification_Trade_off_or_synergy.pdf,
asare2018_cocoa_yield_canopy_ghana,agroforestry,shaded_perennial,T6,Asare R. et al. (2018). On-farm cocoa yields increase with canopy cover of shade trees in two agro-ecological zones in Ghana. Climate and Development / Agroforestry Systems.,,https://cgspace.cgiar.org/server/api/core/bitstreams/9b3ec873-fe78-4e47-8224-e1e6136620e8/content,oa,OA (websearch:cgspace/high),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/asare2018_cocoa_yield_canopy_ghana.pdf,pending,Namita-J,2026-08-05,"Yield-vs-canopy dose response, LMIC. Resolve DOI; likely green OA copy exists — check before institutional pull. | free PDF via cgspace [high]: https://cgspace.cgiar.org/server/api/core/bitstreams/9b3ec873-fe78-4e47-8224-e1e6136620e8/content",
brandle_windbreak_crop_benefits_1988,agroforestry,linear_boundary,T3,"Kort (1988). 9. Benefits of windbreaks to field and forage crops. Agriculture, Ecosystems &amp; Environment.",10.1016/0167-8809(88)90017-5,https://doi.org/10.1016/0167-8809(88)90017-5,paywalled,"Elsevier paywall (1988, pre-OA)",Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/brandle_windbreak_crop_benefits_1988.pdf,pending,Namita-J,2026-08-05,Seminal F4 crop-microclimate/yield mechanism - CGIAR institutional access via Namita-J. | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
cleugh_windbreak_airflow_microclimate_1998,agroforestry,linear_boundary,T3,"Cleugh (1998). Effects of windbreaks on airflow, microclimates and crop yields. Agroforestry Systems.",10.1023/a:1006019805109,https://www.academia.edu/23058386/Effects_of_windbreaks_on_airflow_microclimates_and_crop_yields,oa,OA (websearch:academia/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/cleugh_windbreak_airflow_microclimate_1998.pdf,pending,Namita-J,2026-08-05,Core barrier-porosity vs sheltered-zone response review. | free PDF via academia [med]: https://www.academia.edu/23058386/Effects_of_windbreaks_on_airflow_microclimates_and_crop_yields,true
cornelis_optimal_windbreak_wind_erosion_2004,agroforestry,linear_boundary,T3,Cornelis et al. (2005). Optimal windbreak design for wind-erosion control. Journal of Arid Environments.,10.1016/j.jaridenv.2004.10.005,https://www.academia.edu/31660178/Optimal_windbreak_design_for_wind_erosion_control,oa,OA (websearch:academia/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/cornelis_optimal_windbreak_wind_erosion_2004.pdf,pending,Namita-J,2026-08-05,Arid-land F4 x wind-erosion; good LMIC transferability. | free PDF via academia [med]: https://www.academia.edu/31660178/Optimal_windbreak_design_for_wind_erosion_control,true
hedgerow_erosion_loess_plateau_2019,agroforestry,linear_boundary,T3,"Yang et al. (2019). Erosion control of hedgerows under soils affected by disturbed soil accumulation in the slopes of loess plateau, China. CATENA.",10.1016/j.catena.2019.104079,https://doi.org/10.1016/j.catena.2019.104079,paywalled,Elsevier paywall,Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/hedgerow_erosion_loess_plateau_2019.pdf,pending,Namita-J,2026-08-05,LMIC (China) contour-hedgerow water-erosion response on slopes. | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
windbreak_efficiency_wind_erosion_pm_2020,agroforestry,linear_boundary,T3,"Chang et al. (2021). Windbreak efficiency in controlling wind erosion and particulate matter concentrations from farmlands. Agriculture, Ecosystems &amp; Environment.",10.1016/j.agee.2020.107269,https://doi.org/10.1016/j.agee.2020.107269,paywalled,Elsevier paywall,Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/windbreak_efficiency_wind_erosion_pm_2020.pdf,pending,Namita-J,2026-08-05,F4 wind-erosion efficiency; PM angle partly off-scope. | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
amichev2020_shelterbelt_fuzzy_suitability_sask,agroforestry,linear_boundary,T4,"Amichev et al. (2020). Shelterbelt systems establishment in Saskatchewan, Canada: a multi-criteria fuzzy logic approach to land suitability mapping. New Forests.",10.1007/s11056-019-09766-1,https://doi.org/10.1007/s11056-019-09766-1,paywalled,"paywalled (Springer, closed)",Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/amichev2020_shelterbelt_fuzzy_suitability_sask.pdf,pending,Namita-J,2026-08-05,PRIORITY. Directly models F4 land suitability via multi-criteria fuzzy logic — the exact T4 structure (criteria set + membership functions + weights). Needs CGIAR institutional access -> Namita-J. | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
brandle2004_windbreaks_na_ag,agroforestry,linear_boundary,T4,Brandle et al. (2004). Windbreaks in North American agricultural systems. Agroforestry Systems.,10.1023/b:agfo.0000028990.31801.62,https://www.researchgate.net/publication/262826465_Windbreaks_in_North_American_agricultural_systems_New_visitas_in_Agroforestry,oa,OA (websearch:researchgate/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/brandle2004_windbreaks_na_ag.pdf,pending,Namita-J,2026-08-05,"Seminal review of windbreak siting geometry, protected-zone extent, orientation. Needs institutional download. | free PDF via researchgate [med]: https://www.researchgate.net/publication/262826465_Windbreaks_in_North_American_agricultural_systems_New_visitas_in_Agroforestry",true
cornelis2004_windbreak_design,agroforestry,linear_boundary,T4,Cornelis et al. (2005). Optimal windbreak design for wind-erosion control. Journal of Arid Environments.,10.1016/j.jaridenv.2004.10.005,https://www.academia.edu/31660178/Optimal_windbreak_design_for_wind_erosion_control,oa,OA (websearch:academia/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/cornelis2004_windbreak_design.pdf,pending,Namita-J,2026-08-05,Quantitative porosity/geometry optimum for wind-erosion-control windbreaks — biophysical siting envelope. Institutional download. | free PDF via academia [med]: https://www.academia.edu/31660178/Optimal_windbreak_design_for_wind_erosion_control,true
zhang_2019_threenorth_shelterbelt_carbon,agroforestry,linear_boundary,T6,"Chu et al. (2019). Assessment on forest carbon sequestration in the Three-North Shelterbelt Program region, China. Journal of Cleaner Production.",10.1016/j.jclepro.2018.12.296,https://doi.org/10.1016/j.jclepro.2018.12.296,paywalled,closed access (Elsevier),Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/zhang_2019_threenorth_shelterbelt_carbon.pdf,pending,Namita-J,2026-08-05,"T6 carbon outcome, shelterbelt, China. CGIAR institutional download → SharePoint library/agroforestry/. | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.",true
zheng_2015_shelterbelt_cropyield_ne_china,agroforestry,linear_boundary,T6,Zheng et al. (2016). Assessment of the effects of shelterbelts on crop yields at the regional scale in Northeast China. Agricultural Systems.,10.1016/j.agsy.2015.12.008,https://doi.org/10.1016/j.agsy.2015.12.008,paywalled,closed access (Elsevier),Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/zheng_2015_shelterbelt_cropyield_ne_china.pdf,pending,Namita-J,2026-08-05,Core shelterbelt yield-effect T6 evidence. CGIAR download for Namita-J. | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
chan_2020_livingfences_livestock_cambodia,agroforestry,linear_boundary,T6,"Gill et al. (2020). Living fences for improved smallholder livestock systems in Cambodia. Forests, Trees and Livelihoods.",10.1080/14728028.2020.1827049,https://www.researchgate.net/publication/346086076_Living_fences_for_improved_smallholder_livestock_systems_in_Cambodia,oa,OA (websearch:researchgate/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/chan_2020_livingfences_livestock_cambodia.pdf,pending,Namita-J,2026-08-05,High-value LMIC smallholder living-fence outcome+adoption evidence. Institutional access. | free PDF via researchgate [med]: https://www.researchgate.net/publication/346086076_Living_fences_for_improved_smallholder_livestock_systems_in_Cambodia,true
harvey_2013_livefences_windbreaks_biodiversity_tropical,agroforestry,linear_boundary,T6,"Harvey et al. (2013). Live Fences, Isolated Trees, and Windbreaks: Tools for Conserving Biodiversity in Fragmented Tropical Landscapes. Agroforestry and Biodiversity Conservation in Tropical Landscapes.",10.2307/jj.41003705.18,https://doi.org/10.2307/jj.41003705.18,paywalled,"closed access (book chapter, Princeton UP)",Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/harvey_2013_livefences_windbreaks_biodiversity_tropical.pdf,pending,Namita-J,2026-08-05,Seminal tropical biodiversity-outcome evidence for F4. Book chapter — may need library/ILL rather than journal download. | possible free copy (LOW conf-verify): https://www.researchgate.net/publication/325128589_Live_Fences_Isolated_Trees_and_Windbreaks_Tools_for_Conserving_Biodiversity_in_Fragmented_Tropical_Landscapes,true
shrestha2003_florida_sps_adoption,agroforestry,silvopastoral,T6,Shrestha et al. (2004). Exploring the potential for silvopasture adoption in south-central Florida: an application of SWOT–AHP method. Agricultural Systems.,10.1016/j.agsy.2003.09.004,https://doi.org/10.1016/j.agsy.2003.09.004,paywalled,"paywalled (Elsevier, OA status closed)",Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/shrestha2003_florida_sps_adoption.pdf,pending,Namita-J,2026-08-05,Seminal adoption/SWOT-AHP; CGIAR institutional download for Namita-J. | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
dagang2003_centralamerica_sps_adoption,agroforestry,silvopastoral,T6,Dagang et al. (2003). Silvopastoral research and adoption in Central America: recent findings and recommendations for future directions. Agroforestry Systems.,10.1023/a:1026394019808,https://www.proquest.com/openview/8b79815c344d2fc351d20ed1e7c3e34a/1.pdf?pq-origsite=gscholar&cbl=54133,oa,OA (websearch:proquest/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/dagang2003_centralamerica_sps_adoption.pdf,pending,Namita-J,2026-08-05,LMIC Central America adoption synthesis. | free PDF via proquest [med]: https://www.proquest.com/openview/8b79815c344d2fc351d20ed1e7c3e34a/1.pdf?pq-origsite=gscholar&cbl=54133,true
giraldo2010_colombia_dungbeetle,agroforestry,silvopastoral,T6,GIRALDO et al. (2010). The adoption of silvopastoral systems promotes the recovery of ecological processes regulated by dung beetles in the Colombian Andes. Insect Conservation and Diversity.,10.1111/j.1752-4598.2010.00112.x,https://doi.org/10.1111/j.1752-4598.2010.00112.x,paywalled,"paywalled (Wiley, closed)",Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/giraldo2010_colombia_dungbeetle.pdf,pending,Namita-J,2026-08-05,Colombia biodiversity outcome of SPS adoption. | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
