NbS_Group,ID,Source_title,Organisation__authoring_body,Year,Document_type,Geography,Spatial_approach,Scalability_A_Geographic,Scalability_A_Justification,Scalability_B_Method,Scalability_B_Justification,Scalability_C_Data,Scalability_C_Justification,Scalability_Score,Quality_Citations,Quality_Confidence,Quality_Score,Combined_Score,Final_Benchmark,citations,Confidence,Link
Crop Production Systems,5,Mapping the Potential for Cocoa Agroforestry in Ghana for Climate Change Adaptation and Mitigation,UNEP-WCMC / KNUST / Alliance Bioversity-CIAT,2023,Analytical study report,Ghana (cocoa belt),MCDA / weighted overlay,2,"The spatial analysis was conducted at a national scale across Ghana, using nationwide gridded land-cover maps and scenario outputs",2,"The method relies on a standard MCDA/weighted overlay framework with a scenario-to-impact pipeline, which is transferable in principle, but its concrete rules, thresholds, and local parameterizations (shade levels, reserve buffers, adaptation zones, local data layers) are tailored to Ghana and would need regional adaptation",2,"The inputs include a Ghana-specific national land-cover map (2019 baseline); carbon stock parameters from Acheampong et al. (2014) with IPCC defaults; Biodiversity Intactness Index coefficients via PREDICTS; and climate-smart cocoa recommendation domains from Bunn et al. (2019) plus a climate-adaptation zoning framework, all of which are largely global/open data except the national land-cover layer; substitution with global land-cover datasets is feasible but would require careful re-calibration, indicating mixed generalizability.",2,1,1,1,1.5,Low,15,Low,https://resources.unep-wcmc.org/products/WCMC_RT493
Livestock Production Systems,3,County Spatial Planning in Pastoral Areas – Toolkit III: Developing Scenarios and Formulating Plan Proposals,National Land Commission (Kenya),2019,Manual (planning toolkit),Kenya (pastoral counties),Participatory GIS & scenario-based land-use zoning,1,"Applied at the county scale within Kenya's pastoral counties, consistent with the County Spatial Planning framework. This is a sub-national/local scale",2,"The approach uses a general scenario-planning workflow with GIS overlays and multi-criteria evaluation that is standard and transferable. However, its implementation relies on local stakeholder input and context-specific weights, so it requires local adaptation rather than a direct transfer.",2,"Data sources cited include land use and land tenure maps; protected areas and sensitive ecosystems; stock routes and water points; conflict hotspots; community grazing plans, plus participatory mapping. These inputs are largely local or national in scope and not universally standardized or openly available globally (though some elements have global counterparts), so generalizability to a new region would be MIXED.",2,1,1,1,1.5,Low,10,Low,https://documents.worldbank.org/pt/publication/documents-reports/documentdetail/151131468300538343
Livestock Production Systems,5,Mapping the Suitability of Tropical Forages – Now and in the Future,CIAT (Alliance Bioversity-CIAT),2018,Tool documentation (poster),Global tropics,Climate-envelope species distribution modeling (current vs future),3,"The demonstrated use was in East Africa across four countries (Kenya, Tanzania, Rwanda, Ethiopia), i.e., a multi-country regional application rather than a single country or local site",2,"It describes a general climate-based suitability-mapping approach that could be applied elsewhere, but the lack of explicit modelling methods, data provenance, and local validation means regional transfer requires local calibration and parameter tuning",2,"Reasoning: The summary mentions a web-based GIS tool with a precompiled spatial database but provides no explicit dataset types, sources, resolutions, or climate data details, making replication in another region unclear; while global open datasets could theoretically substitute (climate, soils, land cover, etc.), the lack of transparency on inputs pushes it toward mixed feasibility.",2,2,1,2,2,Medium,20,Low,https://iucn.org/sites/default/files/2023-06/2_compressed.pdf
Livestock Production Systems,6,Sustainable Rangeland Management Toolkit for Resilient Pastoral Systems,IUCN & ICARDA,2022,Toolkit/handbook,Global drylands (case studies in MENA/Africa),Participatory rangeland planning & monitoring at landscape scale,1,"The summary states the toolkit “operated at landscape scale” with unit of analysis defined by participatory mapping across rangeland landscapes spanning thousands of square kilometers, i.e., a sub-national, landscape-level scope",2,"The toolkit's participatory, landscape-scale planning approach can be adapted to similar pastoral regions, given its governance-focused, DPSIR-based framework and participatory mapping. However, its heavy reliance on local facilitation, capacity, and context-specific processes means it cannot be deployed with fixed parameters or minimal adaptation",2,"Reasoning: The summary mentions globally available inputs (remote sensing imagery for vegetation cover, land productivity, soils; climate data) alongside locally gathered governance and socio-economic data (tenure, livestock numbers, subsidies) collected via participatory mapping and geolocated mobile tools, so replication would require both open global datasets and substantial local data collection; MIXED.",2,1,1,1,1.5,Low,15,Low,https://hdl.handle.net/10568/97547
Livestock Production Systems,7,Mapping Guidelines for Participatory Rangeland Management in Pastoral and Agro-Pastoral Areas: Practitioners’ Guide,"CARE Intl., USAID & Mercy Corps (authors: B. Irwin, A. Cullis, F. Flintan)",2015,Field guide,"East Africa (Ethiopia, Kenya, etc.)",Community mapping for local rangeland management,1,"Reasoning: The spatial mapping is conducted as participatory field mapping within a specific local rangeland landscape (community-defined area, not bounded by administrative units), i.e., a local/meso-scale application rather than national or multi-country; thus it demonstrates a local/sub-national scope.",2,"It uses a flexible, participatory mapping process without fixed global parameters, relying on local facilitation, inclusive participation, and negotiated outputs; transferability hinges on adapting facilitation capacity and governance context rather than data or models.",1,"Reasoning: The data inputs are primarily local, knowledge-based data gathered from communities (structured dialogue, field observations) and optional cross-checks using topographic maps, GPS, or GIS imagery; there is no reliance on standardized global datasets, and the spatial framework is defined by local, context-specific features rather than global layers—making replication feasible with similar local data/tools",1,2,2,2,1.5,Low,30,Medium,https://hdl.handle.net/10568/125414
Livestock Production Systems,8,Climate Risk Assessment for Ecosystem-Based Adaptation: A Guidebook for Planners and Practitioners,"GIZ, EURAC & UNU-EHS (IKI global project)",2018,Methodological guide,Global (with examples e.g. Peru coastal),Spatial climate-risk mapping and EbA option screening,1,"Applied to district-level units within a country, producing district-level risk scores and an aggregated map for inter-district prioritisation",2,"The method is a modular, generalizable workflow (AR5-based causal model, 0–1 normalization, composite risk index) but requires local calibration of thresholds, indicator choices, and weights through participatory processes, so it cannot be reused as-is in another region without adaptation",2,"Reasoning: The summary lists baseline geographic data (administrative boundaries, land use, water bodies, soils, salinity), socio-economic data (census, poverty, education), hazard data from local weather stations, and sources like meteorological offices, statistics offices, ministries/municipalities, research institutes, plus public data portals with satellite imagery; while some inputs (satellite data, global layers) are globally available, many are locally maintained and would need substitution or local collection in a new region. Therefore, generalizability is mixed (2).",2,2,3,2,2,Medium,100,High,https://hdl.handle.net/10568/135767
Water & Wetland Systems,1,"WET‐Prioritise: Guidelines for prioritising wetlands at national, regional and local scales",Water Research Commission (South Africa),2009,Guidelines (technical report),"South Africa (national, multi-scale)",MCDA / weighted overlay,2,"The spatial analysis methods (e.g., ROAM) were applied at national scales in multiple countries (Ghana, Mexico, Rwanda, Guatemala) with national restoration opportunity maps, indicating the largest demonstrated scope is national",2,"The method is a standard MCDA/overlay framework used in multiple tools (ROAM, ROOT) with transparent steps, but it relies on locally derived weights and context-specific data layers, necessitating regional adaptation",2,"Reasoning: The summary references tools (ROAM, ROOT, Marxan) and inputs like carbon accrual curves, ecosystem service maps (carbon, water, biodiversity, opportunity cost), restoration cost components, and standardized geospatial datasets, with case applications in several countries. It does not specify globally open datasets by name and emphasizes national/local data gaps, suggesting a mixed reliance on both global-like layers and country-specific inputs; thus generalizability is mixed rather than purely global/open.",2,2,2,2,2,Medium,30,Medium,https://www.wrc.org.za/wp-content/uploads/mdocs/TT%20337%20web.pdf
Water & Wetland Systems,2,Wetlands by Design: A Watershed Approach for Wisconsin,Wisconsin DNR & The Nature Conservancy,2017,Analytical planning report,"Wisconsin, USA (state-wide)",MCDA / weighted overlay,1,"The analysis was applied at the state level across Wisconsin, using nested watershed units within the state (statewide scope).",2,"The method provides a generalizable, multi-scale MCDA-style ranking framework that could be applied in other regions. It relies on locally derived weights, expert judgment, and region-specific datasets (LLWW, WWAL, GISRAM) and would require adapting criteria, weights, and data inputs for a different context",2,"Reasoning: The inputs are dominated by state-level Wisconsin datasets (Wisconsin Wetland Inventory; state PRW layer derived from hydric soils; state land use/land cover; CTI/topographic indices; hydrography/topography layers) with additional local validationdata and region-specific permit datasets; while global open inputs (DEM, some global land-cover/soil maps) could substitute in a new region, the need for region-specific wetland inventories and local data makes full generalizability limited.",2,2,1,2,2,Medium,20,Low,https://www.nawm.org/wetlandsonestop/llww_reports/wetlands_by_design_a_watershed_approach_for_wisconsin.pdf
Water & Wetland Systems,5,Mapping the Potential for Rainwater Harvesting under Various Scenarios,FutureWater (commissioned by RAIN Foundation),2014,Technical report (methodology guide),"West Africa (Mali, Senegal, Burkina Faso)",Suitability mapping,2,"The spatial analysis was applied at the national scale of England, using nationally defined hydrological units (River Basin Districts, Management Catchments, Water body Catchments) for screening and prioritization; therefore, the score is 2.",2,"The approach is a transparent, rule-based screening framework using premise-based layers and constraint masking that can be replicated, but its specific thresholds, data layers, and calibration are England-specific, requiring regional adaptation and local validation",2,"Reasoning: The inputs include WFD catchments, EA flood risk layers, OS OpenMap, CORINE land cover, Forestry Commission National Forest Inventory, OS Terrain, and BGS geology—open data but largely England-specific (CORINE is Europe-wide). Replication elsewhere would require region-specific equivalents or global proxies for several layers; thus generalizability is mixed.",2,2,1,2,2,Medium,20,Low,https://www.futurewater.nl/wp-content/uploads/2014/12/FutureWater_Rainwater_Harvesting_West_Africa.pdf
Water & Wetland Systems,6,Identification of spatial priorities for re-opening wetlands to restore connectivity,FAO & IUCN,2017,Study report (FAO Fisheries Circular),"Xe Champhone wetland, Lao PDR",Spatial screening / feasibility,1,"Reasoning: The spatial analysis was applied strictly to the Xe Champhone Ramsar Site wetland complex and its selected sub-sites (reservoirs, oxbows, and a weir-reservoir interface) within Lao PDR, i.e., a local/sub-national scale within Savannakhet Province.",2,"The method is a qualitative, implementation-focused prioritization anchored in local barriers, field validation, and community input rather than a transferable algorithm with fixed global parameters; replicating it elsewhere would require substantial adaptation to local barriers, management options, and governance context, though the overall workflow could be reproduced.",1,"Reasoning: The analysis relies on locally collected field data (GPS-referenced site attributes, water depths, infestation descriptions) and community surveys, plus desktop literature and a local climate vulnerability assessment and institutional knowledge; there is no explicit use of global open datasets (e.g., WorldClim, DEM, Landsat) as inputs, and drone surveys are only proposed, not used.",1,1,1,1,1,Low,10,Low,https://www.fao.org/3/i7107e/i7107e.pdf
Water & Wetland Systems,7,Prioritizing Nature-Based Solutions for Water Management (Middle Rio Grande),World Wildlife Fund (WWF),2023,Project technical proposal,"New Mexico, USA (Middle Rio Grande)",Spatial screening / feasibility,1,"Applied to the Middle Rio Grande river basin (Cochiti Dam to Caballo Reservoir) in New Mexico, i.e., a single sub-national basin",2,"The approach uses generalizable ET estimation and GIS-based prioritization steps, but relies on region-specific calibration (ET models with local ground-truthing), local vegetation maps, and a governance framework (RCOA) that must be adapted to the new area; therefore, moderately transferable.",2,"The summary lists data sources such as the New Mexico Riparian Habitat Map (NMRipMap v2.0+), Landsat 5–9 imagery, climate-station data, SEBAL and METRIC ET models, ground ET measurements, NMISC’s surface–groundwater model outputs, and pre-existing RCOA spatial layers; while Landsat and open ET modeling methods are broadly adaptable, the NMRipMap, local hydrologic model outputs, and regional RCOA layers are region-specific and would require substitutes in another region, making the approach MIXED in generalizability.",2,1,1,1,1.5,Low,5,Low,https://www.worldwildlife.org/publications/prioritizing-nature-based-solutions-for-water-management-middle-rio-grande
Water & Wetland Systems,8,Mapping the Potential for Working with Natural Processes – User Guide,Environment Agency (England) / JBA Consulting,2017,Technical guidance document,England & Wales (national),Suitability mapping,2,"The analysis was implemented across England & Wales at a national-scale extent, producing national-scale potential maps (and using a 10×10 km grid for broad planning), indicating country/sub-national-level application",2,"The method offers generalizable, rule-based frameworks (parametric suitability and a dynamic water-balance approach) that can be run with global datasets for broad regional scoping, but it relies on expert-derived scoring, optional local weights, and non-specified equations, so substantial local calibration and validation are needed",3,"The Parametric Approach uses globally available open datasets (gridded population from CIESIN/FAO/CIAT; ESA GLOBCOVER land use; SRTM drainage networks and lakes; climate products from CGIAR Climate Explorer, CRU, TRMM; soil drainage HWSD/IIASA) and the Dynamic Approach requires daily precipitation and evaporation from reanalysis-type global products (Princeton dataset) plus IPCC AR5/CMIP5 projections with downscaling; these inputs are described as globally available with only optional local validation data, suggesting broad transferability.",2,2,2,2,2,Medium,70,Medium,https://www.es.lancs.ac.uk/people/nickc/Hankin_etal2017WwNP.pdf
Water & Wetland Systems,9,Natural and Nature-Based Flood Management: A Green Guide (Flood Green Guide),WWF & USAID (OFDA),2017,Practitioner guidebook,"Global (framework, with case examples)",Other (integrated planning framework),1,"Reasoning: The summary identifies the watershed (and sub-watershed) as the primary planning unit for the spatial analysis, with nested scales including national and community levels, indicating the applied scope is at the watershed level (local/sub-national).",2,"Reasoning: It’s a general, process-oriented NbS flood management framework that relies on qualitative assessments and structured worksheets rather than region-specific models, so it can be applied elsewhere with local data and stakeholder input; however, it lacks a turnkey quantitative prioritization tool and depends on local capacity.",2,"Reasoning: The datasets cited span global open data types (meteorological/hydrological records, satellite land-cover data, soil/geology maps) and distinctly local inputs (infrastructure inventories, institutional capacity documentation, and community-based observations), with emphasis on local data where stations are lacking and participatory data collection; since a substantial portion is region-specific rather than universally available, the approach is mixed in data reliance.",2,2,2,2,2,Medium,50,Medium,https://c402277.ssl.cf1.rackcdn.com/publications/1058/files/original/WWF_Flood_Green_Guide_FINAL.pdf?1495628174=
