source_id,citation,doi,benchmark_tier,study_country,region,coords,aez,farming_system,method_type,spatial_scale,analysis_resolution_m,nbs_ids,vars_extracted,extraction_status,extraction_date,extraction_run_id,extractor,source_kind,url,artifact_sha1,retrieved_at,access_status,source_category,library_path,license
ahmad_2020,"Ahmad, Firoz; Uddin, Md. Meraj; Goparaju, Laxmi; Rizvi, Javed; Biradar, Chandrashekhar (2020). Quantification of the Land Potential for Scaling Agroforestry in South Asia. KN - Journal of Cartography and Geographic Information.",10.1007/s42489-020-00045-0,Medium,"India, Bangladesh +4",,,,,empirical,,,agroforestry,aridity_index|climate_shock|crop_yield|drought_hazard|food_security|land_cover|soil_water_retention|tree_canopy_cover,complete,,,,paper,https://doi.org/10.1007/s42489-020-00045-0,fbc9db79491103ac7fa0b973cc035dc444eca04a,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Ahmad et al. - 2020 - Quantification of the Land Potential for Scaling Agroforestry in South Asia.pdf,cc-by
brandt_2015,"Brandt, Patric; Kvakić, Marko; Butterbach‐Bahl, Klaus; Rufino, Mariana C. (2015). How to target climate-smart agriculture? Concept and application of the consensus-driven decision support framework “targetCSA”. Agricultural Systems.",10.1016/j.agsy.2015.12.011,High,Kenya,,,,,empirical,,,agroforestry,accessibility_travel_time|annual_precipitation|aridity_index|land_cover|soil_organic_carbon|tree_canopy_cover,complete,,,,paper,https://doi.org/10.1016/j.agsy.2015.12.011,8059fec1588bd54b6a34bc176b686c13dce5f0ca,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Brandt et al. - 2015 - How to target climate-smart agriculture Concept and application of the consensus-driven decision su.pdf,cc-by-nc-nd
castle_2025,"Castle, Sarah; Miller, Daniel C.; Wardropper, Chloe B. (2025). Mapping the social-ecological suitability of agroforestry in the US Midwest. Environmental Research Letters.",10.1088/1748-9326/adab09,High,United States,,,,,empirical,,,agroforestry,adoption_rate|annual_precipitation|carbon_sequestration|climate_shock|economic_return|ecosystem_service|erosion_hazard|extension_governance|finance_credit_access|labour_availability|land_cover|market_value_chain|mean_annual_temperature|protected_area_status|runoff_reduction|soil_drainage|soil_organic_carbon|soil_ph|tenure_security|windbreak_protection,complete,,,,paper,https://doi.org/10.1088/1748-9326/adab09,bfe8c7c20745e9102fa16113817cbb77d68ab7f7,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Castle et al. - 2025 - Mapping the social-ecological suitability of agroforestry in the US Midwest.pdf,cc-by
chuma_2021,"Chuma, Géant Basimine; Cirezi, Nadège Cizungu; Mondo, Jean M.; Mugumaarhahama, Yannick; Ganza, Deckas; Katcho, Karume; Mushagalusa, Gustave Nachigera; Schmitz, Serge (2021). Suitability for agroforestry implementation around Itombwe Natural Reserve (RNI), eastern DR Congo: Application of the Analytical Hierarchy Process (AHP) approach in geographic information system tool. Trees, Forests and People.",10.1016/j.tfp.2021.100125,Medium,DR Congo,,,,,empirical,,,agroforestry,accessibility_travel_time|biodiversity_outcome|conflict_fragility_index|distance_to_road|ecosystem_service|erosion_hazard|food_security|household_income|land_cover|market_value_chain|microclimate_buffering|slope,complete,,,,paper,https://doi.org/10.1016/j.tfp.2021.100125,13c9f47796f71e970dc69d5c9c7799a8a903268f,2026-06-17,open_access,stock,"D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Chuma et al. - 2021 - Suitability for agroforestry implementation around Itombwe Natural Reserve (RNI), eastern DR Congo.pdf",
haile_2024,"Haile, Getachew (2024). Land Suitability Evaluation for Agroforestry Using Geospatial Techniques in Genale Sub-basin Oromia, Ethiopia. Agriculture, Forestry and Fisheries.",10.11648/j.aff.20241306.17,Low,Ethiopia,,,,,empirical,,,agroforestry,annual_precipitation|carbon_sequestration|microclimate_buffering|slope|soil_organic_carbon|soil_ph|windbreak_protection,complete,,,,paper,https://doi.org/10.11648/j.aff.20241306.17,a3afd82f2e4f609b7033b2a97fe254e115d9ffd2,2026-06-17,open_access,stock,"D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Haile - 2024 - Land Suitability Evaluation for Agroforestry Using Geospatial Techniques in Genale Sub-basin Oromia,.pdf",cc-by
haris_2021,"Haris, Al; Zubair, H.; Syaiful, S. A. (2021). Land suitability evaluation of crops that form agroforestry in tanralili district maros regency. IOP Conference Series: Earth and Environmental Science.",10.1088/1755-1315/637/1/012023,Low,Indonesia,,,,,empirical,,,agroforestry,annual_precipitation|erosion_hazard|slope|soil_drainage,complete,,,,paper,https://doi.org/10.1088/1755-1315/637/1/012023,db7f001c4263f3d5a6d8290baeb77bf9f30346d0,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Haris et al. - 2021 - Land suitability evaluation of crops that form agroforestry in tanralili district maros regency.pdf,cc-by
jawarneh_2025,"Jawarneh, Rana; Makhamreh, Zeyad; Obeidat, Nizar; Al-Taani, Ahmed (2025). A Comprehensive Assessment of Rangeland Suitability for Grazing Using Time-Series Remote Sensing and Field Data: A Case Study of a Steppe Reserve in Jordan. Geographies.",10.3390/geographies5040063,Medium,Jordan,,,,,empirical,,,agroforestry,biodiversity_outcome|distance_to_road|ecosystem_service|erosion_hazard|food_security|slope|soil_drainage|soil_organic_carbon|soil_water_retention|tree_canopy_cover,complete,,,,paper,https://doi.org/10.3390/geographies5040063,e2e3bd007b586d23241a1ace2ad08b55a421fd72,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agrosilvopastoralism/Jawarneh et al. - 2025 - A Comprehensive Assessment of Rangeland Suitability for Grazing Using Time-Series Remote Sensing and.pdf,cc-by
kiziridis_2026,"Kiziridis, Diogenis A.; Karmiris, Ilias; Fotakis, Dimitrios (2026). Agroforestry Optimisation for Climate Policy: Mapping Silvopastoral Carbon Sequestration Trade-Offs in the Mediterranean. Sustainability.",10.3390/su18010439,Medium,"Spain, Greece",,,,,empirical,,,agroforestry,annual_precipitation|carbon_sequestration|ecosystem_service|extension_governance|food_security|labour_availability|land_cover|mean_annual_temperature|protected_area_status|slope|soil_organic_carbon|tenure_security|tree_canopy_cover|wildfire_mitigation,complete,,,,paper,https://doi.org/10.3390/su18010439,42d61cf6791bf1799618a7c09879095b673afa9d,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Kiziridis et al. - 2026 - Agroforestry Optimisation for Climate Policy Mapping Silvopastoral Carbon Sequestration Trade-Offs.pdf,cc-by
marinis_2022,"Marinis, Pietro De; Ferrario, P.; Sali, Guido; Senes, Giulio (2022). The Rapid and Participatory Assessment of Land Suitability in Development Cooperation. Sustainability.",10.3390/su142013049,Medium,DR Congo,,,,,empirical,,,agroforestry,accessibility_travel_time|slope,complete,,,,paper,https://doi.org/10.3390/su142013049,e864ef4d6ccba9f81840f2cfbde2ddec3465ba86,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Marinis et al. - 2022 - The Rapid and Participatory Assessment of Land Suitability in Development Cooperation.pdf,cc-by
moisa_2025,"Moisa, Mitiku; Gurmessa, Mengistu; Oljira, Dereje; Dinsa, Misgana Lamessa; Deribew, Kiros; Roba, Zenebe; Tadesse, Tekalign; Gemeda, Dessalegn (2025). Spatial land suitability modeling for livestock production for closing yield gaps in Western parts of Ethiopia. Cogent Food & Agriculture.",10.1080/23311932.2025.2547467,Medium,Ethiopia,,,,,empirical,,,agroforestry,annual_precipitation|distance_to_road|food_security|land_cover|market_value_chain|slope,complete,,,,paper,https://doi.org/10.1080/23311932.2025.2547467,52133f7e88d9a052b3b7a79d4495529d0dd33334,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agrosilvopastoralism/Moisa et al. - 2025 - Spatial land suitability modeling for livestock production for closing yield gaps in Western parts o.pdf,cc-by
mucida_2023,"Mucida, Danielle; Gorgens, Eric; Rech, Andre; Christófaro, Cristiano; Silva, Ricardo; Pereira, Israel; Morais, Marcelino; Costa, Adriana; França, Luciano (2023). Designing optimal agrosilvopastoral landscape by the potential for conservation use in Brazil. Sustainable Horizons.",10.1016/j.horiz.2022.100045,High,Brazil,,,,,empirical,,,agroforestry,ecosystem_service|erosion_hazard|land_cover|protected_area_status|slope|soil_drainage|soil_water_retention,complete,,,,paper,https://doi.org/10.1016/j.horiz.2022.100045,67cb00f6b13b26eb9321c08e59a65f13e155d0dc,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agrosilvopastoralism/Mucida et al. - 2023 - Designing optimal agrosilvopastoral landscape by the potential for conservation use in Brazil.pdf,cc-by-nc-nd
mushtaq_2023,"Mushtaq, Ruyida; Yadav, Rajesh Kumar; Fayaz, Abida; Ahmed, Pervez; Singh, Harmeet (2023). Multi-criteria land suitability assessment for mulberry-based agroforestry using AHP and GIS approach in Anantnag district of the Kashmir valley, India, to achieve sustainable agriculture. Environment, Development and Sustainability.",10.1007/s10668-023-03812-x,Medium,India,,,,,empirical,,,agroforestry,annual_precipitation|land_cover|mean_annual_temperature|slope|soil_drainage|soil_ph,complete,,,,paper,https://doi.org/10.1007/s10668-023-03812-x,520f4cc7dcd1a493c3d2e0f028c18d8c43899c99,2026-06-17,paywalled,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Mushtaq et al. - 2023 - Multi-criteria land suitability assessment for mulberry-based agroforestry using AHP and GIS approac.pdf,
nath_2021,"Nath, Arun Jyoti; Kumar, Rakesh; Devi, N. Bijayalaxmi; Pebam, Rocky; Giri, Krishna; Sahoo, Uttam Kumar; Bajpai, Raj Kumar; Sahu, Netrananda; Pandey, Rajiv (2021). Agroforestry land suitability analysis in the Eastern Indian Himalayan region. Environmental Challenges.",10.1016/j.envc.2021.100199,Medium,India,,,,,empirical,,,agroforestry,adoption_rate|annual_precipitation|aridity_index|biodiversity_outcome|carbon_sequestration|distance_to_road|ecosystem_service|erosion_hazard|land_cover|mean_annual_temperature|slope|soil_drainage|soil_organic_carbon|soil_ph|tree_canopy_cover,complete,,,,paper,https://doi.org/10.1016/j.envc.2021.100199,c666e204c6f76e03b40b1865e61237f9524bdaa8,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Nath et al. - 2021 - Agroforestry land suitability analysis in the Eastern Indian Himalayan region.pdf,cc-by-nc-nd
palma_2007,"Palma, J. H. N.; Graves, Anil; Burgess, Paul; Werf, Wopke van der; Herzog, Félix (2007). Integrating environmental and economic performance to assess modern silvoarable agroforestry in Europe. Ecological Economics.",10.1016/j.ecolecon.2007.01.011,High,Europe (multi),,,,,empirical,,,agroforestry,adoption_rate|biodiversity_outcome|carbon_sequestration|crop_yield|economic_return|ecosystem_service|erosion_hazard|finance_credit_access|land_cover|market_value_chain|soil_water_retention|tree_canopy_cover,complete,,,,paper,https://doi.org/10.1016/j.ecolecon.2007.01.011,4e7a05d3f1465695c7505895dcfafbe2e00292b7,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Palma et al. - 2007 - Integrating environmental and economic performance to assess modern silvoarable agroforestry in Euro.pdf,other-oa
seja_2022,"Seja, Simon Msami; Mbilinyi, Bonifas; Hieronimo, Proches (2022). Integrated Analytical Hierarchical Process and Geographical Information System for Allocation of Compatible Land Uses along Uluguru Mountain Slopes. Current Urban Studies.",10.4236/cus.2022.104045,Low,Tanzania,,,,,empirical,,,agroforestry,annual_precipitation|ecosystem_service|erosion_hazard|land_cover|mean_annual_temperature|slope,complete,,,,paper,https://doi.org/10.4236/cus.2022.104045,4aa5b8da7122eaff3ce785d1f587a1f5134ef0fd,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Seja et al. - 2022 - Integrated Analytical Hierarchical Process and Geographical Information System for Allocation of Com.pdf,cc-by
singh_2024,"Singh, Manish; Upadhyay, Lalit; Badekhan, Almaszabeen; Shil, Susmita; Gautam, Saransh Kumar; Anand, Ashish; Karthickraja, Aroulradj (2024). Leveraging Remote Sensing and Nanotechnology to Overcome Barriers to Agroforestry Adoption by Small Holder Farmers. Journal of Scientific Research and Reports.",10.9734/jsrr/2024/v30i51928,Medium,Asia (multi),,,,,empirical,,,agroforestry,adoption_rate|carbon_sequestration|extension_governance|market_value_chain|tenure_security,complete,,,,paper,https://doi.org/10.9734/jsrr/2024/v30i51928,c3b67bc27e6564f566c8e932413ea7f4bd949f33,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Singh et al. - 2024 - Leveraging Remote Sensing and Nanotechnology to Overcome Barriers to Agroforestry Adoption by Small.pdf,
sperandio_2024,"Sperandio, Huézer Viganô; Morais, Marcelino Santos de; França, Luciano Cavalcante de Jesus; Mucida, Danielle Piuzana; Santana, Reynaldo Campos; Silva, Ricardo Siqueira da; Rodrigues, C. V.; Faria, Bruno Lopes de; Azevedo, Maria Luiza de; Görgens, Eric Bastos (2024). Land suitability modeling integrating geospatial data and artificial intelligence. Agricultural Systems.",10.1016/j.agsy.2024.104197,High,Brazil,,,,,empirical,,,agroforestry,annual_precipitation|distance_to_road|ecosystem_service|erosion_hazard|land_cover|mean_annual_temperature|slope|soil_organic_carbon|soil_ph|soil_water_retention,complete,,,,paper,https://doi.org/10.1016/j.agsy.2024.104197,208792dd748322d40e96ec06fa8aa5253b989bcc,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agrosilvopastoralism/Sperandio et al. - 2024 - Land suitability modeling integrating geospatial data and artificial intelligence.pdf,other-oa
unger_2023,"Unger, Martin; Lakes, Tobia (2023). Land Use Conflicts and Synergies on Agricultural Land in Brandenburg, Germany. Sustainability.",10.3390/su15054546,Medium,Germany,,,,,empirical,,,agroforestry,adoption_rate|annual_precipitation|erosion_hazard|extension_governance|finance_credit_access|land_cover|mean_annual_temperature|microclimate_buffering|protected_area_status|soil_drainage|windbreak_protection,complete,,,,paper,https://doi.org/10.3390/su15054546,4f4ddb59b9d490eeb792fe6c6e9e791bbc67637b,2026-06-17,open_access,stock,"D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Unger and Lakes - 2023 - Land Use Conflicts and Synergies on Agricultural Land in Brandenburg, Germany.pdf",cc-by
wotlolan_2021,"Wotlolan, Dean L.; Lowry, John H.; Wales, N.; Glencross, Kevin (2021). Land suitability evaluation for multiple crop agroforestry planning using GIS and multi-criteria decision analysis: A case study in Fiji. Agroforestry Systems.",10.1007/s10457-021-00661-3,Medium,Fiji,,,,,empirical,,,agroforestry,annual_precipitation|ecosystem_service|erosion_hazard|food_security|labour_availability|land_cover|mean_annual_temperature|slope|soil_drainage|soil_ph|tenure_security,complete,,,,paper,https://doi.org/10.1007/s10457-021-00661-3,4d9d0761ae70a1ef111a5ac4e984c041d7398c4b,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Wotlolan et al. - 2021 - Land suitability evaluation for multiple crop agroforestry planning using GIS and multi-criteria dec.pdf,
yadav_2024,"Yadav, Neelesh; Rakholia, Shrey; Yosef, Reuven (2024). A Prototype Decision Support System for Tree Selection and Plantation with a Focus on Agroforestry and Ecosystem Services. Forests.",10.3390/f15071219,Medium,India,,,,,empirical,,,agroforestry,annual_precipitation|ecosystem_service|land_cover|mean_annual_temperature|runoff_reduction|soil_drainage|soil_organic_carbon,complete,,,,paper,https://doi.org/10.3390/f15071219,1891feef48dc6de7ae1a7431545002dd53b242c6,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Yadav et al. - 2024 - A Prototype Decision Support System for Tree Selection and Plantation with a Focus on Agroforestry a.pdf,cc-by
abigaba_2024,"Abigaba, D. et al. (2024). The potential of agroforestry to buffer climate change impacts on suitability of coffee and banana in Uganda. Agroforestry Systems.",10.1007/s10457-024-01025-3,Medium,Uganda,,,,,empirical,,,agroforestry,annual_precipitation|mean_annual_temperature|soil_ph|tree_canopy_cover,complete,2026-06-19,openalex_af_2026-06,claude_sonnet,paper,https://doi.org/10.1007/s10457-024-01025-3,e0a4e737bb90be49d4675d227d817b5c13bcfa69,2026-06-19,open_access,updated_lit,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/abigaba_2024.pdf,cc-by
affan_2024,"Affan, M. et al. (2024). Soil Quality in Land Suitability Analysis of Coffee Agroforestry in Patokpicis Village, Wajak District, Malang Regency. Journal of Coffee and Sustainability.",10.21776/ub.jcs.2024.01.03.03,Low,Indonesia,,,,,fao_landeval,,,agroforestry,mean_annual_temperature|slope|soil_ph|soil_texture_hsg,complete,2026-06-19,openalex_af_2026-06,claude_sonnet,paper,https://doi.org/10.21776/ub.jcs.2024.01.03.03,d4eb5c4845b4645e3803cd7827bcb2796693fd48,2026-06-19,open_access,updated_lit,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/affan_2024.pdf,cc-by
mantino_2026,"Mantino, A. et al. (2026). Enhancing ecosystem services to mitigate agro-environmental pressures: integrating participatory mapping and land suitability analysis for crop-livestock mixed farming and agroforestry systems. Agroforestry Systems.",10.1007/s10457-026-01461-3,Medium,Italy,,,,,empirical,,,agroforestry,land_cover|soil_organic_carbon|tree_canopy_cover,complete,2026-06-19,openalex_af_2026-06,claude_sonnet,paper,https://doi.org/10.1007/s10457-026-01461-3,fd7826c24cd22c43a355f85d3e9f7f6a33118329,2026-06-19,open_access,updated_lit,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/mantino_2026.pdf,cc-by
singh_2026,"Singh, R. et al. (2026). Scaling agroforestry land suitability analysis in Odisha, India: a machine learning approach. Frontiers in Remote Sensing.",10.3389/frsen.2026.1780218,Medium,India,,,,,empirical,,,agroforestry,accessibility_travel_time|annual_precipitation|distance_to_road|land_cover|mean_annual_temperature|slope|soil_drainage|soil_ph|soil_texture_hsg,complete,2026-06-19,openalex_af_2026-06,claude_sonnet,paper,https://doi.org/10.3389/frsen.2026.1780218,7e494bef8fbff535a6cef580db6d3e9bc6d78227,2026-06-19,open_access,updated_lit,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/singh_2026.pdf,cc-by
inab_landcap_guatemala,"INAB (Instituto Nacional de Bosques), Guatemala. Clasificación de tierras por capacidad de uso (manual). National land-capability classification.",,Medium,Guatemala,,,,,fao_landeval,,,agroforestry,slope|soil_depth_to_bedrock,complete,2026-06-20,grey_af_2026-06,claude_sonnet,pdf,https://www.inab.gob.gt/images/centro_descargas/manuales/Clasificaci%C3%B3n%20de%20tierras%20por%20capacidad%20de%20uso.pdf,83faf65ec107d9fbb8a7a751b375020d4524603e,2026-06-20,open_access,grey,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/inab_landcap_guatemala.pdf,
crs_fmnr_niger_2025,Catholic Relief Services (2025). Scaling Farmer Managed Natural Regeneration (FMNR) in Niger — Technical Brief.,,Low,Niger,,,,,adoption_study,,,agroforestry,distance_to_road|extension_governance|labour_availability|rootstock_presence|soil_texture|tenure_security,complete,2026-06-20,grey_af_2026-06,claude_sonnet,pdf,https://www.crs.org/sites/default/files/2025-05/crs_fmnr_technical_brief_final.pdf,b06424e4eff0e44bf8c1a7affbb6092323bb2f30,2026-06-20,open_access,grey,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/crs_fmnr_niger_2025.pdf,
