canonical_variable_id,label,aliases,canonical_unit,unit_conversions,group_id,candidate_dataset_ids,min_meaningful_resolution_m,resolution_sensitivity,derive_then_aggregate,context_sensitivity,review_status,raised_by,raised_date,comment
heat_stress_tmax_baseline,Heat stress (Tmax warmest month),[],index_or_native,{},climatic,"[""chelsa_bioclim_v21_baseline""]",1000,low,false,medium,,,,
flood_exposure_baseline,Flood hazard proxy (precip wettest month),[],index_or_native,{},climatic,"[""chelsa_bioclim_v21_baseline""]",1000,low,false,low,,,,
agricultural_cropland_exposure,Cropland exposure fraction,[],index_or_native,{},land_use,"[""esa_worldcover_2021""]",1000,low,false,medium,,,,
population_exposure_rural,Rural population exposure,[],index_or_native,{},socioeconomic,"[""worldpop_population_density""]",1000,low,false,high,,,,
soil_degradation_sensitivity,Soil degradation sensitivity,[],index_or_native,{},edaphic,"[""isric_soilgrids250_v2""]",1000,low,false,medium,,,,
adaptive_capacity_road_access,Adaptive capacity (road access),[],index_or_native,{},infrastructure,"[""osm_road_network""]",1000,low,false,medium,,,,
drought_spei12_ssp245_2050,Projected drought severity (SSP2-4.5),[],index_or_native,{},climatic,"[""chelsa_bioclim_ssp245_2050""]",1000,low,false,low,,,,
flood_hazard_runoff_depth,Flood hazard (runoff depth),[],index_or_native,{},hydrological,"[""scs_cn_runoff_composite""]",1000,low,false,low,,,,
rainfall_variability_exposure,Rainfall variability exposure,[],index_or_native,{},climatic,"[""chirps_precipitation_v2""]",1000,low,false,low,,,,
soil_permeability_sensitivity,Soil permeability sensitivity,[],index_or_native,{},edaphic,"[""isric_soilgrids250_v2""]",1000,low,false,medium,,,,
rural_poverty_headcount,Rural poverty headcount,[],index_or_native,{},socioeconomic,"[""world_bank_poverty_pip""]",1000,low,false,high,,,,
carbon_sequestration_potential,Carbon sequestration potential,"[""GSOCseq"",""SOC seq potential"",""soc_sequestration_potential""]",index_or_native,{},carbon,"[""fao_gsoc_map"",""fao_gsocseq""]",1000,low,false,medium,,,,
food_security_risk,Food-security risk,[],index_or_native,{},socioeconomic,"[""world_bank_poverty_pip""]",1000,low,false,high,,,,
biodiversity_conservation_priority,Biodiversity conservation priority,[],index_or_native,{},biodiversity,"[""protected_areas_wdpa""]",1000,low,false,medium,,,,
soil_degradation_risk,Soil degradation risk,[],index_or_native,{},edaphic,"[""isric_soilgrids250_v2""]",1000,low,false,medium,,,,
road_infrastructure_access,Road infrastructure access,[],index_or_native,{},infrastructure,"[""osm_road_network""]",1000,low,false,medium,,,,
climate_drought_hazard,Climate drought hazard,[],index_or_native,{},climatic,"[""spei_global_v26""]",1000,low,false,low,,,,
tree_cover_gap,Tree-cover gap,[],index_or_native,{},land_use,"[""hansen_treecover2000""]",1000,low,false,medium,,,,
agricultural_water_deficit,Agricultural water deficit,[],index_or_native,{},hydrological,"[""chirps_precipitation_v2""]",1000,low,false,low,,,,
runoff_potential_index,Surface runoff potential,[],index_or_native,{},hydrological,"[""scs_cn_runoff_composite""]",1000,low,false,low,,,,
soil_erosion_risk,Soil erosion risk,[],index_or_native,{},edaphic,"[""isric_soilgrids250_v2""]",1000,low,false,medium,,,,
groundwater_recharge_potential,Groundwater recharge potential,[],index_or_native,{},hydrological,"[""scs_cn_runoff_composite""]",1000,low,false,low,,,,
flood_risk,Flood risk,[],index_or_native,{},climatic,"[""scs_cn_runoff_composite""]",1000,low,false,low,,,,
water_access_deficit,Water-access deficit,[],index_or_native,{},socioeconomic,"[""world_bank_poverty_pip""]",1000,low,false,high,,,,
cocoa_distribution,Cocoa distribution / harvested area,"[""cocoa area"",""cocoa harvested area"",""cocoa production""]",fraction_or_ha,{},land_use,"[""mapspam_cocoa_2020""]",10000,low,false,high,,,,
evapotranspiration_ref,Reference evapotranspiration (ET0),"[""Global-ET0"",""Global Reference Evapotranspiration"",""ET0"",""PET""]",mm/day,{},climatic,"[""global_aridity_index_v3""]",1000,low,false,,canonical,ev_et0_nath21,2026-06-05,
soil_bulk_density,Bulk density (0-30 cm),"[""BD"",""bulk density""]",kg/dm3,{},edaphic,"[""isric_soilgrids250_v2""]",250,medium,false,,canonical,ev_bd_nath21,2026-06-05,
soil_ph_subsoil,Subsoil pH (30-100 cm),"[""pH subsoil""]",pH_units,{},edaphic,[],250,medium,false,,rejected,ev_phsub_nath21,2026-06-05,"Deferred: pilot uses topsoil 0-30 cm only via the topsoil canonical (soil_ph / soil_organic_carbon). Per v0.2.5 worked example, depth-stratified pairs are option (b) for a future v0.3.x schema increment; re-authored when subsoil binding becomes operationally needed."
soil_organic_carbon_subsoil,Subsoil organic carbon (30-100 cm),"[""SOC subsoil""]",g/kg,{},edaphic,[],250,medium,false,,rejected,ev_socsub_nath21,2026-06-05,"Deferred: pilot uses topsoil 0-30 cm only via the topsoil canonical (soil_ph / soil_organic_carbon). Per v0.2.5 worked example, depth-stratified pairs are option (b) for a future v0.3.x schema increment; re-authored when subsoil binding becomes operationally needed."
soil_texture,Soil texture (USDA class),"[""texture"",""soil texture code""]",class,{},edaphic,"[""isric_soilgrids250_v2""]",250,medium,false,,canonical,ev_tex_nath21,2026-06-05,Canonical USDA-class soil texture. Complementary to soil_texture_hsg (HSG hydrology classification) — not a duplicate. Both stay canonical.
soil_cation_exchange_capacity,Cation exchange capacity (topsoil),"[""CEC""]",cmol/kg,{},edaphic,"[""isric_soilgrids250_v2""]",250,medium,false,,canonical,ev_cec_nath21,2026-06-05,
soil_available_water_capacity,Available water capacity (root zone),"[""AWC"",""plant-available water""]",mm,{},edaphic,"[""isric_soilgrids250_v2""]",250,medium,false,,canonical,ev_awc_nath21,2026-06-05,
elevation,Terrain elevation,"[""altitude"",""DEM""]",m,{},topographic,"[""srtm_dem_90m"",""srtm_dem_30m""]",90,low,false,,canonical,,,
aspect,Slope aspect (terrain direction),"[""aspect"",""slope aspect""]",degrees,{},topographic,"[""srtm_dem_30m"",""srtm_dem_90m""]",90,high,true,,canonical,ev_aspect_nath21,2026-06-05,
ndvi,NDVI,"[""NDVI"",""vegetation index""]",unitless,{},land_cover_vegetation,"[""mod13q1_ndvi""]",250,low,false,,canonical,ev_ndvi_nath21,2026-06-05,
built_up_areas,Built-up areas (points/polygons),"[""built-up"",""settlement points""]",boolean_or_distance,{},socio_economic,"[""ghsl_built_up""]",100,low,false,,canonical,ev_builtup_nath21,2026-06-05,Could be merged with population_exposure_rural or treated as proximity variable.
soil_erosion_wind,Wind erosion risk (erodibility index),"[""wind erodibility""]",unitless,,hazard,"[""ssurgo_wind_erodibility""]",800,low,false,,canonical,ev_erosion_wind_castle25,2026-06-05,
water_quality_nitrate,Water-quality nitrate violation probability,"[""nitrate violation index""]",probability,,hazard,"[""epa_nitrate_violation_index""]",500,low,false,,canonical,ev_nitrate_castle25,2026-06-05,"Could be modelled as priority_need (T5) instead of structural_suitability (T4) — water quality is an opportunity-space concern, not a tree-growth constraint."
frost_free_period,Frost-free period (days),"[""FFP"",""frost-free season""]",days,,climatic,"[""ssurgo_frostfree""]",1000,low,false,,canonical,ev_frostfree_castle25,2026-06-05,Temperate-zone climate constraint. Distinct from mean_annual_temperature.
soil_depth_to_bedrock,Soil depth to bedrock,"[""depth to bedrock"",""soil depth""]",cm,,edaphic,"[""ssurgo_statsgo"",""isric_soilgrids250_v2""]",250,medium,false,,canonical,,,
set_aside_conservation,Set-aside conservation program coverage,"[""CRP coverage"",""conservation easements""]",pct,,socio_economic,"[""nass_census_2022""]",50000,low,false,,canonical,ev_setaside_castle25,2026-06-05,"US-specific (NASS county-level). Decide: drop, generalise (e.g. 'protected/conservation land coverage'), or keep as country-binding variable."
rotational_grazing,Rotational grazing prevalence,[],pct,,socio_economic,"[""nass_census_2022""]",50000,low,false,,canonical,ev_rotgraze_castle25,2026-06-05,Silvopasture-specific (F3 family). Likely not relevant to F1 silvoarable — flag for family-routing decision.
rented_lands,Rented agricultural land share,"[""tenure (renter)""]",pct,,socio_economic,"[""nass_census_2022""]",50000,low,false,,canonical,ev_rented_castle25,2026-06-05,Tenure proxy. Could merge with a generic 'tenure security' canonical.
beginning_farmers,Beginning-farmer share,[],pct,,socio_economic,"[""nass_census_2022""]",50000,low,false,,canonical,ev_beginfarmers_castle25,2026-06-05,
hired_labor,Hired labour reporting share,[],pct,,socio_economic,"[""nass_census_2022""]",50000,low,false,,canonical,ev_hiredlabor_castle25,2026-06-05,
solar_radiation,Solar radiation (annual mean / daily mean),"[""radiation"",""insolation"",""PAR""]",W/m2,,climatic,"[""worldclim_v2_srad"",""nasa_power""]",1000,low,false,,canonical,ev_radiation_palma07,2026-06-05,
geology,Geological substrate (lithology),"[""lithology"",""geological units""]",class,,edaphic,"[""onegeology""]",1000,low,false,,canonical,ev_geology_mendonca22,2026-06-05,Mendonça (Embrapa-style) ranked classes; may be redundant with soil_texture in coarse-resolution analyses.
land_capability,Land-use capability class (FAO/Brazilian I-VIII),"[""PLUC"",""land capability""]",class,,land_cover_vegetation,"[""faogaez_landcap""]",1000,low,false,,canonical,ev_pluc_mendonca22,2026-06-05,
forest_fragment_size,Forest fragment size (ha),"[""forest patch size""]",ha,,land_cover_vegetation,"[""hansen_treecover2000""]",30,medium,true,,canonical,ev_forestfrag_mendonca22,2026-06-05,Derived from forest cover layer + patch analysis; agroforestry-priority signal (Brazilian Atlantic Forest restoration framing).
drought_hazard,Drought hazard (SPEI / annualised severity),"[""SPEI"",""drought severity""]",unitless,,climate_hazard,"[""spei_global_v26"",""chirps_precipitation_v2""]",5000,low,false,low,,,,
flood_hazard,Flood hazard (return-period flood depth/extent),"[""flood risk"",""flood depth""]",m,,climate_hazard,"[""jrc_global_flood_hazard""]",250,medium,false,low,canonical,t5_v030_ratification,2026-06-05,"Layer choice deferred — FATHOM, JRC, WRI Aqueduct. Pilot-time decision."
heat_stress_hazard,Heat-stress hazard (Tmax-days / WBGT / heat-index frequency),"[""heat stress"",""Tmax"",""extreme heat days""]",days_per_year,,climate_hazard,"[""chelsa_bioclim_v21_baseline"",""chelsa_bioclim_ssp245_2050""]",1000,low,false,low,canonical,,,
biodiversity_priority,Biodiversity priority (layer TBD),"[""KBA"",""BII"",""biodiversity priority""]",unitless,,biodiversity,"[""bii_nhm_global""]",1000,low,false,low,canonical,t5_v030_ratification,2026-06-05,BII (Newbold et al. 2016) chosen as canonical layer. KBA polygons recommended as supplementary binary flag (vector overlay outside T5).
water_stress,Water stress (Aqueduct or ET-deficit composite),"[""aqueduct"",""water scarcity"",""P-PET""]",unitless,,climatic,"[""wri_aqueduct_water_stress""]",1000,low,false,low,canonical,t5_v030_ratification,2026-06-05,
rural_poverty,Rural poverty headcount (subnational),"[""poverty headcount"",""subnational poverty"",""PIP""]",pct,,socio_economic,"[""world_bank_poverty_pip""]",50000,low,false,high,,,,
production_gap,Production gap vs attainable productivity,"[""yield gap"",""NPP gap"",""productivity gap""]",pct,,agricultural_system,[],1000,medium,false,medium,canonical,t5_v030_ratification,2026-06-05,Per-farming-system metric resolved via BIND: yield-gap (GAEZ/MapSPAM) for cropping; NPP gap for rangeland; mixed where applicable. Livestock side often requires_upload.
agricultural_dependency,Agricultural-sector dependency (livelihood),"[""ag dependency"",""ag employment share""]",pct,,socio_economic,"[""ilo_labour_statistics""]",50000,low,false,high,canonical,t5_v030_ratification,2026-06-05,
gender_inequity,Gender inequity index (national flag),"[""GII"",""gender gap""]",unitless,,socio_economic,"[""undp_gii_national""]",100000,low,false,high,canonical,t5_v030_ratification,2026-06-05,National-flag layer for now. Subnational disaggregation requires_upload.
rural_population,Rural population density,"[""population density"",""rural pop""]",persons_per_km2,,socio_economic,"[""worldpop_population_density""]",100,low,false,medium,,,,
farm_size,Mean farm size (smallholder share or median ha),"[""smallholder share"",""median farm size""]",ha,,agricultural_system,"[""lesiv_smallholder_farm_size""]",1000,low,false,medium,canonical,t5_v030_ratification,2026-06-05,
agricultural_production_value,Agricultural production value (gridded),"[""ag GDP"",""ag production"",""MapSPAM value""]",usd_per_ha_yr,,agricultural_system,"[""mapspam_cocoa_2020"",""mapspam_v2""]",10000,low,false,medium,canonical,t5_v030_ratification,2026-06-05,Generic MapSPAM-style value layer. Cocoa-specific binding already in T1; this canonical is the multi-crop generalisation.
accessibility_travel_time,Travel time to large city/market,"[""market access"", ""market_access"", ""travel time to large markets"", ""accessibility"", ""travel time""]",minutes,,socio_economic,"[""nelson_accessibility_2015""]",1000,low,false,,canonical,v030_m2b_stream_b,2026-06-05,Nelson/Weiss accessibility surface — minutes to large town. Maps to WOCAT QM indirect driver 'm' (market access / roads). | market_access (T5/T6/BIND) consolidated here 2026-06-24 #103 — same Nelson/Weiss travel-time surface; synonymous names kept as aliases.
electrification_index,Electrification / night-lights index,[],unitless,,socio_economic,"[""viirs_nighttime_lights""]",1000,low,false,,canonical,v030_m2b_stream_b,2026-06-05,VIIRS night-lights or WB Energy grid-coverage. Maps to WOCAT QM indirect driver 'i' (infrastructure / energy).
tenure_security,"Land tenure security (formal + customary, incl. IPLC)",[],unitless,,socio_economic,"[""landmark_iplc_lands""]",1000,low,false,,canonical,v030_m2b_stream_b,2026-06-05,LandMark + WWF/ICCA + Prindex. Carries FPIC/ESS7 flag where IPLC overlap detected. Maps to WOCAT QM indirect driver 't' (land tenure).
conflict_fragility_index,Conflict / fragility index,[],unitless,,socio_economic,"[""acled_conflict_events""]",1000,low,false,,canonical,v030_m2b_stream_b,2026-06-05,ACLED event density + WB FCV list. Maps to WOCAT QM indirect driver 'p' (political stability / conflict).
extension_governance,Extension service + governance quality,[],unitless,,socio_economic,"[""wb_wgi_governance""]",1000,low,false,,canonical,v030_m2b_stream_b,2026-06-05,WB WGI + country-team uploads. Maps to WOCAT QM indirect drivers 'e' (extension / education) and 'g' (governance / policy).
finance_credit_access,Rural finance / credit / project density,[],unitless,,socio_economic,"[""wb_findex_access""]",1000,low,false,,canonical,v030_m2b_stream_b,2026-06-05,WB project-funding density + FinScope. Maps to WOCAT QM indirect driver 'f' (finance / credit).
market_value_chain,Market / value-chain depth,[],unitless,,socio_economic,"[""faostat_country_indicators""]",1000,low,false,,canonical,v030_m2b_stream_b,2026-06-05,FAOSTAT + country-team uploads. Maps to WOCAT QM indirect driver 'm' (market access / value chain depth).
labour_availability,Seasonal rural labour availability,[],unitless,,socio_economic,"[""ilo_labour_statistics""]",1000,low,false,,canonical,v030_m2b_stream_b,2026-06-05,ILO + LSMS-ISA. Maps to WOCAT QM indirect driver 'l' (labor availability).
farming_system,Farming system (EO-derived 6-class),"[""FS class"",""farming system class""]",class,,agricultural_system,"[""glad_global_cropland_2019"",""esa_worldcereal_2021"",""glw4_livestock_2020"",""fao_gmia_v5"",""hansen_treecover2000"",""mapspam_cocoa_2020""]",1000,low,false,medium,,,,"Derived layer — recipe in methodology/farming_system_classifier.md. Run-time output, not a single dataset."
iplc_lands,IPLC lands presence,"[""indigenous and community lands"",""marginalisation"",""iplc_presence""]",binary,{},socio_economic,"[""landmark_iplc_lands""]",1000,low,false,high,canonical,v030_t5_equity_inclusion,2026-06-07,LandMark + WWF/ICCA. Higher presence -> equity priority + FPIC/ESS7 flag for M6 hand-off.
establishment_cost,Establishment cost,"[""initial investment"",""capital cost"",""planting cost""]",USD/ha,{},socio_economic,[],1000,low,false,high,canonical,issue_24_wocat,2026-06-09,Initial establishment / capital cost per hectare. Extracted from literature/WOCAT database.
recurrent_cost,Recurrent / maintenance cost,"[""maintenance cost"",""operating cost"",""annual cost""]",USD/ha/year,{},socio_economic,[],1000,low,false,high,canonical,issue_24_wocat,2026-06-09,Annual maintenance / recurrent operational cost per hectare. Extracted from literature/WOCAT database.
fire_hazard,Wildfire / fire hazard (frequency / burn probability),"[""fire"",""wildfire"",""burn probability""]",unitless,,climate_hazard,"[""modis_burned_areas""]",1000,low,false,medium,canonical,issue_21_t3_hazards,2026-06-15,
wind_cyclone_hazard,Wind / cyclone hazard (max wind speed / gust speed),"[""wind"",""storm"",""cyclone""]",m/s,,climate_hazard,"[""global_wind_atlas""]",1000,low,false,low,canonical,issue_21_t3_hazards,2026-06-15,
waterlogging_hazard,Waterlogging hazard (inundation / drainage constraints),"[""waterlogging"",""anaerobic soil""]",unitless,,climate_hazard,"[""hwsd_v2""]",1000,low,false,medium,canonical,issue_21_t3_hazards,2026-06-15,
soil_water_retention,Soil water retention capacity,"[""water retention"",""infiltration rate""]",mm,,hydrological,[],250,medium,false,medium,canonical,issue_21_t3_hazards,2026-06-15,
runoff_reduction,Surface runoff reduction rate,"[""runoff reduction""]",percent,,hydrological,[],250,medium,false,medium,canonical,issue_21_t3_hazards,2026-06-15,
wildfire_mitigation,Wildfire hazard mitigation potential,"[""wildfire mitigation"",""fuel load reduction""]",unitless,,hazard,[],1000,low,false,medium,canonical,issue_21_t3_hazards,2026-06-15,
silvopastoral_grazing,Silvopastoral grazing management,"[""silvopastoral grazing"",""woodland grazing""]",unitless,,socio_economic,[],1000,low,false,medium,canonical,issue_21_t3_hazards,2026-06-15,
fuel_load_mitigation,Fuel load mitigation potential,"[""fuel load mitigation""]",unitless,,hazard,[],1000,low,false,medium,canonical,issue_21_t3_hazards,2026-06-15,
microclimate_buffering,Microclimate temperature buffering,"[""microclimate"",""understorey cooling""]",degC,,climatic,[],250,medium,false,low,canonical,issue_21_t3_hazards,2026-06-15,
water_regulation,Water regulation capacity,"[""water regulation"",""hydrological buffering""]",unitless,,hydrological,[],250,medium,false,medium,canonical,issue_21_t3_hazards,2026-06-15,
soil_nitrogen,Soil nitrogen availability,"[""soil nitrogen"",""soil N""]",g/kg,,edaphic,[],250,medium,false,medium,canonical,issue_21_t3_hazards,2026-06-15,
crop_yield,Crop productivity / grain yield,"[""yield"",""crop yield""]",t/ha,,agricultural_system,[],250,medium,false,medium,canonical,issue_21_t3_hazards,2026-06-15,
carbon_sequestration,Carbon sequestration / removal rate (biomass + soil),"[""carbon sequestration"", ""sequestration rate"", ""tCO2"", ""carbon removal""]",tCO2/ha/yr,{},carbon,[],1000,low,false,medium,pending,reextract_2026-06-17,2026-06-17,auto-registered from T3/T6 re-extraction; needs ontology review
project_cost,Project / investment cost,"[""cost"", ""investment cost"", ""budget""]",USD,{},socio_economic,[],10000,low,false,high,pending,reextract_2026-06-17,2026-06-17,auto-registered from T3/T6 re-extraction; needs ontology review
economic_return,Economic return (EIRR / NPV / benefit-cost),"[""EIRR"", ""NPV"", ""benefit-cost ratio"", ""economic rate of return""]",unitless,{},socio_economic,[],10000,low,false,high,pending,reextract_2026-06-17,2026-06-17,auto-registered from T3/T6 re-extraction; needs ontology review
beneficiaries,Beneficiaries reached / area under practice,"[""beneficiaries"", ""farmers reached"", ""households"", ""hectares""]",count,{},socio_economic,[],10000,low,false,high,pending,reextract_2026-06-17,2026-06-17,auto-registered from T3/T6 re-extraction; needs ontology review
household_income,Household income / revenue effect,"[""income"", ""revenue"", ""profit""]",USD,{},socio_economic,[],1000,low,false,high,pending,reextract_2026-06-17,2026-06-17,auto-registered from T3/T6 re-extraction; needs ontology review
food_security,Food security / dietary diversity outcome,"[""food security"", ""dietary diversity"", ""nutrition""]",unitless,{},socio_economic,[],10000,low,false,high,pending,reextract_2026-06-17,2026-06-17,auto-registered from T3/T6 re-extraction; needs ontology review
adoption_rate,Adoption / uptake rate,"[""adoption"", ""uptake"", ""dis-adoption""]",percent,{},socio_economic,[],10000,low,false,medium,pending,reextract_2026-06-17,2026-06-17,auto-registered from T3/T6 re-extraction; needs ontology review
ecosystem_service,Ecosystem service provision (non-carbon),"[""ecosystem service"", ""provisioning"", ""regulating""]",unitless,{},biodiversity,[],1000,low,false,medium,pending,reextract_2026-06-17,2026-06-17,auto-registered from T3/T6 re-extraction; needs ontology review
biodiversity_outcome,Biodiversity outcome (richness / ESI),"[""biodiversity"", ""species richness"", ""ESI""]",unitless,{},biodiversity,[],1000,low,false,medium,pending,reextract_2026-06-17,2026-06-17,auto-registered from T3/T6 re-extraction; needs ontology review
erosion_hazard,Soil erosion / land degradation hazard,"[""erosion"", ""soil loss"", ""land degradation""]",unitless,{},climate_hazard,[],1000,low,false,low,pending,reextract_2026-06-17,2026-06-17,auto-registered from T3/T6 re-extraction; needs ontology review
climate_shock,Climate shock / variability exposure,"[""climate shock"", ""climate variability"", ""extreme weather""]",unitless,{},climate_hazard,[],5000,low,false,low,pending,reextract_2026-06-17,2026-06-17,auto-registered from T3/T6 re-extraction; needs ontology review
windbreak_protection,Windbreak / shelter protection effect,"[""windbreak"", ""shelterbelt"", ""wind protection""]",unitless,{},hazard,[],1000,low,false,low,pending,reextract_2026-06-17,2026-06-17,auto-registered from T3/T6 re-extraction; needs ontology review
rootstock_presence,Living tree stump / rootstock presence,"[""rootstock"",""living stumps"",""regeneration potential"",""root suckers"",""seed source""]",categorical,,land_cover_vegetation,"[""requires_upload"",""field_survey""]",100,medium,false,low,pending_review,claude_grey_sweep,2026-06-20,System-constraint precondition for FMNR (existing rootstock/regeneration capacity) — CRS FMNR Niger.
distance_to_settlement,Distance to nearest settlement,"[""distance to market"", ""distance from settlement"", ""distance to town"", ""distance to village"", ""settlement proximity"", ""market proximity""]",km,"{""m->km"": ""/1000""}",socio_economic,[],100,medium,true,medium,pending_review,issue_103,2026-06-24,"Euclidean distance to built-up/settlement. distance_to_market is SYNONYMOUS (rural settlement≈market) — folded here as an alias. Distinct from accessibility_travel_time (friction/travel-time, not euclidean). Dataset binding pending (Benson). #103."
distance_to_waterbody,Distance to nearest waterbody,"[""distance to water"", ""distance from waterbody"", ""river proximity"", ""stream proximity""]",km,"{""m->km"": ""/1000""}",hydrological,[],100,medium,true,low,pending_review,issue_103,2026-06-24,Euclidean distance to surface water. Dataset binding pending. #103.
distance_to_cropland,Distance to nearest cropland,"[""distance to cropland"", ""distance from agriculture"", ""cropland proximity""]",km,"{""m->km"": ""/1000""}",land_use,[],100,medium,true,medium,pending_review,issue_103,2026-06-24,Euclidean distance to cropland. Dataset binding pending. #103.
distance_to_forest,Distance to nearest forest,"[""distance to forest"", ""distance from forest"", ""forest edge proximity""]",km,"{""m->km"": ""/1000""}",land_cover_vegetation,[],100,medium,true,medium,pending_review,issue_103,2026-06-24,Euclidean distance to forest/tree cover. Dataset binding pending. #103.
