binding_id,variable,scope_type,scope_id,dataset_id,preference_rank,status,fitness_note,band
farming_system__global,farming_system,global,,,1,requires_upload,Derived run-time layer. Inputs: glad_global_cropland_2019 + esa_worldcereal_2021 + glw4_livestock_2020 + fao_gmia_v5 + hansen_treecover2000 + mapspam_cocoa_2020. Recipe: methodology/farming_system_classifier.md. Default thresholds; tune per AOI.,
farming_system__SLE,farming_system,admin_country,SLE,,1,requires_upload,"Sierra Leone tuning: irrigation_share=0.10, livestock_mixed=3.0 TLU/km2, livestock_pastoral=15.0, tree_perennial_dominant=0.40. See farming_system_classifier.md §Per-AOI tuning.",
biodiversity_priority__global,biodiversity_priority,global,,bii_nhm_global,1,catalogued,BII (Newbold et al. 2016). Global 1 km. Use (1 - BII) as priority.,
accessibility_travel_time__global,accessibility_travel_time,global,,nelson_accessibility_2015,1,catalogued,Weiss/Nelson 2015 baseline ~1 km global accessibility surface. Travel-time minutes.,
electrification_index__global,electrification_index,global,,viirs_nighttime_lights,1,catalogued,VIIRS annual night-lights composite at ~500 m as electrification proxy.,
tenure_security__global,tenure_security,global,,landmark_iplc_lands,1,catalogued,LandMark IPLC vector layer. FPIC_REQUIRED flag triggers on overlap with the M1 opportunity-space mask. Coverage patchy — absence ≠ no IPLC presence.,
conflict_fragility_index__global,conflict_fragility_index,global,,acled_conflict_events,1,catalogued,ACLED rolling 5-year event-density grid; pair with WB FCV admin0 list for binary fragility flag.,
extension_governance__global,extension_governance,global,,wb_wgi_governance,1,catalogued,"WB WGI 'government effectiveness' (admin0). Per the T5 spatial-grain rule (admin0 → qualified flag, not hotspot driver). Subnational requires_upload.",
finance_credit_access__global,finance_credit_access,global,,wb_findex_access,1,catalogued,WB Global Findex (admin0). Subnational requires_upload via LSMS-ISA / FinScope.,
market_value_chain__global,market_value_chain,global,,faostat_country_indicators,1,catalogued,FAOSTAT country indicators (producer prices + trade) as market-depth proxy. Subnational requires country uploads.,
labour_availability__global,labour_availability,global,,ilo_labour_statistics,1,catalogued,ILOSTAT agricultural employment share. Subnational requires LSMS-ISA or country uploads.,
flood_hazard__global,flood_hazard,global,,jrc_global_flood_hazard,1,catalogued,"JRC Global Flood Hazard 100-year return period as default. WRI Aqueduct + FATHOM (proprietary) considered, JRC chosen for open + global + grid.",
water_stress__global,water_stress,global,,wri_aqueduct_water_stress,1,catalogued,WRI Aqueduct 4.0 baseline water-stress index. Basin/admin1 granularity.,
agricultural_dependency__global,agricultural_dependency,global,,ilo_labour_statistics,1,catalogued,ILOSTAT 'employment in agriculture (% of total)' admin0 indicator. Subnational requires_upload.,
gender_inequity__global,gender_inequity,global,,undp_gii_national,1,catalogued,"UNDP Gender Inequality Index — national flag. Per T5 spatial-grain rule, surfaces as qualified flag within a country, not hotspot driver.",
market_access__global,accessibility_travel_time,global,,nelson_accessibility_2015,1,catalogued,"Same Nelson/Weiss surface as accessibility_travel_time — re-bound here for the T5 descriptor framing (market connectivity context, not scenario lever).",
farm_size__global,farm_size,global,,lesiv_smallholder_farm_size,1,catalogued,"Lesiv et al. 2019 crowdsourced field-size dataset, ~1 km.",
agricultural_production_value__global,agricultural_production_value,global,,mapspam_v2,1,catalogued,"MapSPAM v2.0 summed crop economic value, ~10 km. Weak on tree-perennials — Forest Data Partnership (issue #35) is the supplement.",
iplc_lands__global,iplc_lands,global,,landmark_iplc_lands,1,catalogued,LandMark IPLC vector layer. Marks IPLC overlap with M1 opportunity-space mask for equity priority + FPIC/ESS7 flag. Coverage patchy - absence != no IPLC presence.,
