search_id,nbs_id,suitability_family_id,table,category,search_terms,screening_steps,inclusion_criteria,limits,n_retrieved,n_screened,n_included,search_date,run_id,searched_by,ruleset_version,discovery_log_ref,note
agroforestry__T6__updated_lit__agroforestry__regeneration_farmland__2026-07-17,agroforestry,agroforestry__regeneration_farmland,T6,updated_lit,"FMNR/ANR/RNA title terms x yield|adoption|income|tree density|carbon|biodiversity|cost; seed Weston2015,Binam2015&2017,Haglund2011",frame|source_type|relevance|credibility_six_axis|saturation_stop,"F2 FMNR/ANR/RNA practice explicit (PICOS); bears on suitability(T4)/hazard-response(T3)/outcomes+cost(T6); exclude species-envelope, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50; sweep PRISMA 58 retrieved -> 36 screened -> 19 included,,,8,2026-07-17,fmnr_2026-07,Pete/Claude,v1.2,agroforestry_regeneration_fmnr_2026-07.md,
agroforestry__T4__grey__agroforestry__regeneration_farmland__2026-07-17,agroforestry,agroforestry__regeneration_farmland,T4,grey,"WebSearch authority-org FMNR/ANR field manual+establishment (FAO ANR manual 2019, WRI Six Steps 2015) + WOCAT SLM tech DB #507(Kenya),#1358(Burkina)",frame|source_type|relevance|credibility_six_axis|saturation_stop,"F2 FMNR/ANR/RNA practice explicit (PICOS); bears on suitability(T4)/hazard-response(T3)/outcomes+cost(T6); exclude species-envelope, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50; sweep PRISMA 58 retrieved -> 36 screened -> 19 included,,,4,2026-07-17,fmnr_2026-07,Pete/Claude,v1.2,agroforestry_regeneration_fmnr_2026-07.md,WOCAT acquired via per-technology PDF export; HTML page is JS SPA shell
agroforestry__T3__grey__agroforestry__regeneration_farmland__2026-07-17,agroforestry,agroforestry__regeneration_farmland,T3,grey,WebSearch FMNR climate-resilience briefs (WRI/Regreening Africa/CRS),frame|source_type|relevance|credibility_six_axis|saturation_stop,"F2 FMNR/ANR/RNA practice explicit (PICOS); bears on suitability(T4)/hazard-response(T3)/outcomes+cost(T6); exclude species-envelope, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50; sweep PRISMA 58 retrieved -> 36 screened -> 19 included,,,0,2026-07-17,fmnr_2026-07,Pete/Claude,v1.2,agroforestry_regeneration_fmnr_2026-07.md,0 grey-specific T3 included; peer-reviewed Sahel anchors dominate
agroforestry__T6__grey__agroforestry__regeneration_farmland__2026-07-17,agroforestry,agroforestry__regeneration_farmland,T6,grey,WebSearch FMNR economic/outcome grey: WRI Six Steps + ELD/GIZ economic meta-analysis (cost/ha) + WOCAT #507/#1358 benefits,frame|source_type|relevance|credibility_six_axis|saturation_stop,"F2 FMNR/ANR/RNA practice explicit (PICOS); bears on suitability(T4)/hazard-response(T3)/outcomes+cost(T6); exclude species-envelope, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50; sweep PRISMA 58 retrieved -> 36 screened -> 19 included,,,4,2026-07-17,fmnr_2026-07,Pete/Claude,v1.2,agroforestry_regeneration_fmnr_2026-07.md,grey positive-bias discount at synthesis
agroforestry__T4__stock__agroforestry__silvopastoral__2026-08-04,agroforestry,agroforestry__silvopastoral,T4,stock,OpenAlex title.search boolean: (silvopasture OR silvopastoral OR silvopastoril OR sylvopastoral OR silvipastoril) AND (suitability OR suitable OR potential OR establishment OR density OR stocking OR forage OR grazing OR shade OR slope OR aridity OR rainfall); sort=cited_by_count:desc; seminal/high-cite slice,frame|source_type|relevance|credibility_six_axis|saturation_stop,"F3 silvopasture/silvopastoral practice explicit (PICOS); bears on T4 suitability: biophysical envelope + grazing/forage/stocking system-constraint; exclude species-envelope tree-growth scripts, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50,454,18,3,2026-08-04,silvopastoral_t4_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T4_2026-08.md,seminal closed-access -> acquisition_queue: shrestha_alavalapati_2003 (FL silvopasture potential); silvopast water-balance Patagonia 2002 (a:1020269432671); pasture-under-tree-density Atlantic (s10457-007-9032-2)
agroforestry__T4__updated_lit__agroforestry__silvopastoral__2026-08-04,agroforestry,agroforestry__silvopastoral,T4,updated_lit,"OpenAlex same boolean net, recent slice ~2015-2026 + suitability-mapping method angle incl US-Midwest agroforestry suitability doi:10.1088/1748-9326/adab09",frame|source_type|relevance|credibility_six_axis|saturation_stop,"F3 silvopasture/silvopastoral practice explicit (PICOS); bears on T4 suitability: biophysical envelope + grazing/forage/stocking system-constraint; exclude species-envelope tree-growth scripts, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50,454,18,4,2026-08-04,silvopastoral_t4_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T4_2026-08.md,eja.2020.126029 microclimate canopy palisadegrass (hybrid); SciELO s0103-90162010000500014 soil bulk density Brachiaria (gold OA); agee.2016.08.026 Piata x tree density (bronze OA); adab09 Midwest suitability method (gold OA)
agroforestry__T4__grey__agroforestry__silvopastoral__2026-08-04,agroforestry,agroforestry__silvopastoral,T4,grey,WebSearch EN: silvopasture/silvopastoral establishment guidelines + tree density + stocking rate + suitability manual (FAO/CIPAV/WOCAT); intensive silvopastoral ISPS density (fodder shrubs 4000-40000/ha; trees 100-600/ha),frame|source_type|relevance|credibility_six_axis|saturation_stop,"F3 silvopasture/silvopastoral practice explicit (PICOS); bears on T4 suitability: biophysical envelope + grazing/forage/stocking system-constraint; exclude species-envelope tree-growth scripts, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50,8,8,3,2026-08-04,silvopastoral_t4_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T4_2026-08.md,OA PDFs: Center-for-Agroforestry Training Manual 2025 Ch4 Silvopasture; UFL-IFAS FR145; OSU-Ext EM8989. GAP: CIPAV/Latin-America LMIC silvopasture not yet located. US-extension = quantified density/site rules but temperate-US context (context downweight for LMIC)
agroforestry__T4__tool__agroforestry__silvopastoral__2026-08-04,agroforestry,agroforestry__silvopastoral,T4,tool,GitHub+WebSearch: silvopasture land-suitability GEE/GIS MCDA; repo saraheb3/AgroforestrySuitability_GEE@af338e8 - Agroforestry-Suitability-Map:79 practice==3=silvopasture; branch gates CDLpasture(class176) AND non-forest,frame|source_type|relevance|credibility_six_axis|saturation_stop,"F3 silvopasture/silvopastoral practice explicit (PICOS); bears on T4 suitability: biophysical envelope + grazing/forage/stocking system-constraint; exclude species-envelope tree-growth scripts, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50,7,2,1,2026-08-04,silvopastoral_t4_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T4_2026-08.md,saraheb3/AgroforestrySuitability_GEE commit af338e8 MIT. Per-species tree-growth scripts EXCLUDED (species envelopes). Rule=system_constraint pasture land-cover gate; dataset US CDL/NASS (temperate-US caveat); claim_basis=expert_assertion
agroforestry__T4__stock__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T4,stock,"OpenAlex title.search: (""alley cropping"" OR ""silvoarable"" OR ""hedgerow intercropping"" OR ""tree intercropping"" OR parkland) AND (suitability OR climate OR rainfall OR soil OR slope) ; sort=cited_by_count:desc",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,397,12,3,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T4_2026-08.md,"High-cite slice dominated by Sahel parkland process studies (Bayala et al.) which are practice-level and T4-relevant. Substantial NOISE from 'parkland' = Canadian Aspen Parkland ecology (duck abundance, boreal analogue) — excluded, not agroforestry. Faidherbia-specific hits flagged as species-envelope."
agroforestry__T4__updated_lit__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T4,updated_lit,"OpenAlex title.search: (""alley cropping"" OR silvoarable OR ""trees on farms"" OR ""trees outside forests"" OR parkland OR ""hedgerow intercropping"") AND (suitability OR mapping OR GIS OR ""land suitability"" OR potential OR zonation) ; from_publication_date:2015-01-01 ; sort=cited_by_count:desc  +  WebSearch: 'ICRAF FAO agroforestry suitability mapping trees on farms parkland rainfall soil requirements technical guideline'",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,104,12,3,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T4_2026-08.md,"Recent suitability/mapping slice. Best T4-method hits: Burkina Faso climatic-zone parkland profiles (diamond OA, LMIC), Indonesia trees-on-farms adoption/potential (system-side), and FAO-guideline geospatial agroforestry suitability mapping (India, explicit criteria set). TOF-detection papers (Switzerland) are method-for-distribution but temperate/high-income, downweighted."
agroforestry__T4__grey__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T4,grey,WebSearch EN: 'WOCAT alley cropping silvoarable parkland agroforestry land suitability biophysical requirements manual' ; 'ICRAF FAO agroforestry suitability mapping trees on farms parkland rainfall soil requirements technical guideline' ; 'Faidherbia albida parkland rainfall range mm agroecological zone Sahel establishment FAO WOCAT technology',frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,24,10,2,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T4_2026-08.md,"FAO Conservation Guide 'Agroforestry parklands in sub-Saharan Africa' (x3940e) and USDA-NAC alley-cropping note are practice-level OA. WOCAT SLM DB returned NO direct silvoarable/alley technology entry via web index — needs direct WOCAT portal query next iteration. Faidherbia grey docs are single-species envelopes (species lane, not T4 practice)."
agroforestry__T4__tool__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T4,tool,WebSearch: 'GitHub agroforestry land suitability GEE Earth Engine MCDA model alley cropping trees on farms' ; then GitHub API inspection of saraheb3/AgroforestrySuitability_GEE @ commit af338e8251c6bde4fa46caccf4e92124f80d7623 (tree + raw gee_script/Agroforestry-Suitability-Map),frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,6,3,1,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T4_2026-08.md,One strong repo (Castle et al. US-Midwest MCDA). AgriSuit / AgKit4EE are NbS-agnostic agricultural-land tools (PICOS fail — no explicit agroforestry practice branch). Per-species tree-growth scripts in the repo (Apple/Walnut/Chestnut/etc.) IGNORED as species envelopes.
agroforestry__T3__stock__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T3,stock,OpenAlex title.search: (alley cropping OR silvoarable OR hedgerow intercropping OR parkland) AND (drought OR erosion OR microclimate OR resilience) ; sort=cited_by_count:desc,frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice (drought/heat/flood/wind/erosion); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,42,12,4,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T3_2026-08.md,"High-cite historical slice. Heavy homonym noise from urban 'alley' (green alleys, flash-flood alley, cancer alley). Genuine F1 hazard-response signal is erosion/runoff control (Philippines, Nigeria, Indonesia) + microclimate moderation. LMIC-grounded classics dominate the true hits."
agroforestry__T3__updated_lit__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T3,updated_lit,"OpenAlex title.search: (alley cropping OR silvoarable OR tree intercropping OR parkland) AND (drought OR heat OR flood OR windbreak OR erosion OR resilience) , from_publication_date:2015-01-01 ; sort=cited_by_count:desc",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice (drought/heat/flood/wind/erosion); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,30,15,4,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T3_2026-08.md,Recent slice. Same urban-alley homonym pollution (~half the hits off-topic). Real recent F1 T3 = drought/microclimate response in walnut/oil-palm/temperate alley cropping; 2025 barley-drought and 2023 tree-line-drought are OA. Recent work skews temperate/EU; LMIC recent hazard-response thin.
agroforestry__T3__grey__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T3,grey,WebSearch #1: 'WOCAT SLM technology alley cropping OR parkland agroforestry erosion drought wind erosion control sub-Saharan' ; WebSearch #2: 'alley cropping parkland trees on farms drought resilience field manual WOCAT FAO agroforestry climate hazard buffering',frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice (drought/heat/flood/wind/erosion); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,18,18,3,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T3_2026-08.md,"Authority-org grey: WOCAT SLM technologies DB (LMIC-grounded case studies, erosion/ANR), FAO parkland-SSA monograph (drought buffering, scattered trees), FAO agroforestry adaptation modules. Strong LMIC coverage. Individual WOCAT technology PDFs need per-entry pull for extraction."
agroforestry__T3__tool__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T3,tool,WebSearch: 'ICRAF agroforestry suitability GEE Google Earth Engine github tree cover cropland MCDA site selection' + GitHub API inspection of saraheb3/AgroforestrySuitability_GEE,frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice (drought/heat/flood/wind/erosion); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,10,10,1,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T3_2026-08.md,"Most agroforestry GIS/GEE tools are T4 suitability, not T3 hazard-response. Only saraheb3/AgroforestrySuitability_GEE encodes hazard-response branches (windbreak field-buffers = wind hazard, riparian buffers = flood/erosion, GloSEM soil-erosion layer). US-context; per-species tree-growth scripts (apple/walnut/chestnut/etc.) IGNORED as species envelopes."
agroforestry__T6__stock__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T6,stock,"title.search: (""alley cropping"" OR silvoarable OR ""tree intercropping"" OR ""hedgerow intercropping"" OR parkland OR ""trees on farms"") AND (yield OR carbon OR adoption OR income OR profitability OR biodiversity) ; sort=cited_by_count:desc",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity) + indicative scoping-grade cost; adoption/MEL included; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,316,15,4,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T6_2026-08.md,"OpenAlex high-cite slice. Real total=316. Screened out per-species envelope/soil-process-only and pure-forestry rows; kept LMIC adoption/econ (Bayard Haiti), Sahel carbon (Luedeling), Sudan yield+income (Fahmi), Kenya alley yield (Mugendi)."
agroforestry__T6__updated_lit__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T6,updated_lit,"title.search: (""alley cropping"" OR silvoarable OR ""tree intercropping"" OR ""hedgerow intercropping"" OR parkland OR ""trees on farms"") AND (yield OR carbon OR adoption OR cost OR income OR biodiversity) , from_publication_date:2015-01-01 ; sort=cited_by_count:desc",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity) + indicative scoping-grade cost; adoption/MEL included; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,177,15,4,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T6_2026-08.md,"OpenAlex 2015+ slice. Real total=177. Kept Indonesia ToF adoption (Noldeke), Senegal parkland millet yield (Leroux), temperate silvoarable biodiversity review (Kletty), Australia ToF adoption (Fleming, HIC caveat). Dropped Mediterranean soil-carbon-process rows as T4-leaning."
