subpractice_id,nbs_id,name,definition,suitability_family_id,dominant_limiting_factor,spatial_product_type,grouping_rationale,references
shaded_perennial_crop,agroforestry,Shaded perennial-crop system,"Shade trees grown over an existing perennial cash crop. The understorey crop (coffee, cocoa, tea, cardamom, pepper, ...) is a PARAMETER of the family, scoped per AOI - not a separate subpractice.",agroforestry__shaded_perennial,"The host crop's observed distribution / production (where the crop is actually grown), plus shade-as-adaptation at the climate-stressed edge.",area_suitability,"One family, crop as a parameter (run per candidate crop, combine by max retaining the driving crop) - the way F1 is not split by tree species. Gated by the crop's observed distribution (MapSPAM / GAEZ / EO commodity maps / ag-stats), not a modelled niche; bioclimatic-envelope modelling is the fallback only where distribution data are absent. Crops are not blended into one envelope (coffee highlands and cocoa lowlands are nearly disjoint).","[""Schroth et al. 2016"", ""DaMatta 2004""]"
homegardens,agroforestry,Multistrata homegardens,Intensive multistrata tree-crop-livestock gardens adjacent to dwellings.,agroforestry__homegardens_proximity,Settlement and water proximity at sub-pixel scale.,qualitative_only,"Sub-pixel and proximity-driven; a raster suitability surface misleads, so handled qualitatively via the scorecard + M6 note rather than mapped.","[""Kumar & Nair 2004""]"
macrocatchment_wh,water_harvesting_conservation,Macro-catchment water harvesting,"Structures that collect runoff from a catchment larger than the cultivated/storage area (e.g. check dams, farm ponds).",water_harvesting__runoff_catchment,"Runoff generation + storable terrain (slope, drainage, soil permeability).",applicability_zone,"Runoff-catchment WH practices share a runoff-generation + storage-terrain limiting factor; reported as an applicability zone, not pixel area.","[""Critchley & Siegert 1991""]"
cross_cutting_envelope,agroforestry,Cross-cutting envelope (family-agnostic),"Tagging value for evidence applying across ALL agroforestry families (e.g. general biophysical envelope claims), not one subpractice. Not a real subpractice.",agroforestry__cross_family,(cross-cutting — applies to all families),qualitative_only,"Meta-tag (v0.3.2, pending ratification) so general envelope evidence is not force-pinned to F1; see methodology/schema_changes.",[]
passive_natural_regeneration,forest_restoration,Passive natural regeneration,Forest recovery by spontaneous regeneration after the degrading pressure is removed; no planting or active management.,forest_restoration__passive_regeneration,"regeneration potential: seed-source/remnant proximity, residual woody cover, low disturbance, pressure-removal feasibility",area_suitability,Restoration continuum passive end; limited by natural regeneration potential not planting. Grounded stocktake 'natural regeneration' rows + distance-from-remnants variable.,"[""reference/stocktake/peer_reviewed_benchmarked.csv""]"
secondary_succession,forest_restoration,Secondary succession,Unassisted secondary forest succession on abandoned/degraded land.,forest_restoration__passive_regeneration,same as passive regeneration — spontaneous recovery gated by regeneration potential,area_suitability,Grouped with passive regeneration: identical limiting factor (natural propagule supply + low disturbance).,"[""reference/stocktake/peer_reviewed_benchmarked.csv""]"
assisted_natural_regeneration,forest_restoration,Assisted natural regeneration (ANR),"Accelerate natural regeneration by removing barriers (weeding, fire/grazing protection, liberation thinning, releasing wildlings); relies on natural propagules, not planting.",forest_restoration__assisted_regeneration,partial regeneration potential + intervention feasibility (access/labour/management),area_suitability,Distinct from passive (needs active intervention + access) and from planting (no planting). Middle of the restoration continuum.,"[""reference/stocktake/peer_reviewed_benchmarked.csv""]"
reforestation,forest_restoration,Reforestation,Deliberate tree planting to re-establish forest on formerly forested land.,forest_restoration__active_planting,planting envelope for target species/community + degradation too high for natural regen,area_suitability,"Active-planting family; reforestation vs afforestation is a prior-land-cover flag, not a separate family (same planting limiting factor).","[""reference/stocktake/peer_reviewed_benchmarked.csv""]"
afforestation,forest_restoration,Afforestation,Tree planting to establish forest on land not recently forested.,forest_restoration__active_planting,planting envelope for target species + site not previously forest (do-no-harm caveat on non-forest ecosystems),area_suitability,Grouped with reforestation/enrichment under active planting; prior land cover is a context flag.,"[""reference/stocktake/peer_reviewed_benchmarked.csv""]"
enrichment_planting,forest_restoration,Enrichment planting,Planting target species into degraded/secondary forest to restore composition/structure.,forest_restoration__active_planting,planting envelope + existing degraded canopy (partial cover),area_suitability,Active-planting intervention within existing degraded forest; shares the planting limiting factor.,"[""reference/stocktake/peer_reviewed_benchmarked.csv""]"
mangrove_restoration,forest_restoration,Mangrove restoration,Restoration of mangrove/coastal forested wetlands by planting or hydrology restoration.,forest_restoration__mangrove_coastal,"coastal hydrology: tidal hydroperiod, salinity, intertidal elevation, sediment supply, wave energy",area_suitability,Distinct coastal-hydrology limiting factor. PARKED from discovery pending scope decision (coastal vs rural-terrestrial scan).,"[""reference/stocktake/peer_reviewed_benchmarked.csv""]"
ecological_mangrove_restoration,forest_restoration,Ecological mangrove restoration (EMR),Restore tidal hydrology and let mangroves regenerate naturally rather than mass-planting.,forest_restoration__mangrove_coastal,coastal hydrology restoration feasibility (hydroperiod/elevation) + natural propagule supply,area_suitability,Grouped with mangrove restoration (same coastal-hydrology driver). PARKED from discovery pending scope decision.,"[""reference/stocktake/peer_reviewed_benchmarked.csv""]"
forest_protection,forest_restoration,Forest protection / avoided degradation,Protecting existing forest under threat from degradation/deforestation.,forest_restoration__protection_cbfm,"existing standing forest x degradation/deforestation pressure x governance feasibility (governance is soft -> M2b, not T4)",applicability_zone,Not new establishment; applies within existing-forest mask. PARKED from discovery pending scope decision (restoration family vs separate avoided-deforestation stream).,"[""reference/stocktake/peer_reviewed_benchmarked.csv""]"
community_based_forest_management,forest_restoration,Community-based forest management,Community/collective management of forest for protection and sustainable use.,forest_restoration__protection_cbfm,existing forest + community tenure/governance feasibility (soft enabling-env -> M2b),applicability_zone,Grouped with protection: same standing-stock+governance driver. PARKED from discovery pending scope decision.,"[""reference/stocktake/peer_reviewed_benchmarked.csv""]"
contour_bunds_ridges,water_harvesting_conservation,Contour bunds / ridges,Earthen bunds or ridges on the contour that hold rain where it falls on the field.,water_harvesting__in_situ,"On-field water balance: rainfall deficit + soil infiltration/depth, gentle slope; placed on inter-stream slopes.",area_suitability,"In-situ moisture conservation: capture rain in place, no external catchment or storage; grouped by the on-field water-balance limiter.","[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
planting_pits_zai,water_harvesting_conservation,Planting pits / Zai,"Micro-pits that concentrate water and organic matter at the planting station (Zai, tassa).",water_harvesting__in_situ,On-field water balance in degraded/crusted soils; rainfall deficit.,area_suitability,In-situ point moisture concentration; same on-field water-balance limiter as contour bunds.,"[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
conservation_tillage_mulch,water_harvesting_conservation,Conservation tillage / mulching,Residue cover and reduced tillage to cut evaporation and raise infiltration.,water_harvesting__in_situ,Soil infiltration/water-holding + rainfall deficit; low slope.,area_suitability,In-situ moisture conservation via surface management; on-field water-balance limiter.,"[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
semicircular_bunds,water_harvesting_conservation,Semi-circular bunds,Crescent bunds catching runoff from a short bare micro-catchment upslope.,water_harvesting__micro_catchment,Short-slope runoff:cropped-area ratio + slope/soil.,area_suitability,Micro-catchment: a small bare catchment feeds an adjacent basin; grouped by the short-slope runoff-ratio limiter.,"[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
eyebrow_terraces,water_harvesting_conservation,Eyebrow terraces,Small individual terraces harvesting runoff from an upslope strip.,water_harvesting__micro_catchment,Short-slope runoff:planted-area ratio.,area_suitability,Micro-catchment runoff-ratio limiter (distinct from slope-reshaping bench terraces).,"[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
runoff_strips,water_harvesting_conservation,Runoff strips,Alternating bare runoff-donor strips and cropped receiving strips.,water_harvesting__micro_catchment,Runoff-donor:receiver strip ratio + slope/soil.,area_suitability,Micro-catchment runoff-ratio limiter.,"[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
farm_ponds,water_harvesting_conservation,Farm ponds,Excavated/embanked ponds storing runoff from a larger catchment.,water_harvesting__runoff_catchment,Runoff generation + drainage geomorphology (3rd-4th order) + soil clay for storage.,applicability_zone,Ex-situ storage sited within candidate drainage zones; runoff+geomorphology limiter.,"[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
check_dams,water_harvesting_conservation,Check dams,"Small barriers across channels to slow flow, trap sediment and recharge.",water_harvesting__runoff_catchment,Drainage-line geomorphology (2nd-3rd order stream) + runoff.,applicability_zone,"Ex-situ channel structure; sited on drainage lines, reported as siting density not pixel area.","[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
percolation_tanks,water_harvesting_conservation,Percolation tanks,Impoundments designed to recharge groundwater by infiltration.,water_harvesting__runoff_catchment,Runoff + permeable substrate/lineaments for recharge.,applicability_zone,Ex-situ recharge structure; runoff+recharge-terrain limiter.,"[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
bench_terraces,water_harvesting_conservation,Bench terraces,Level or near-level steps cut into a slope to hold water and soil.,water_harvesting__terracing,"Slope (defining, ~5-25%) + soil depth for construction.",area_suitability,Terracing/slope SWC: slope is the defining variable; distinct slope envelope from in-situ/ex-situ.,"[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
stone_bunds_fanya_juu,water_harvesting_conservation,Stone bunds / fanya juu,Contour stone bunds or fanya juu embankments that progressively terrace a slope.,water_harvesting__terracing,Slope + stone availability + soil depth.,area_suitability,Slope-reshaping SWC; grouped with bench terraces by the slope-driven limiter.,"[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
rooftop_harvesting,water_harvesting_conservation,Rooftop / domestic harvesting,Cisterns/reservoirs capturing roof runoff at buildings.,water_harvesting__rooftop,Settlement/building presence (sub-pixel).,qualitative_only,"PARKED: settlement-driven, not a rural-landscape suitability surface (scope Q).","[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
spate_floodwater,water_harvesting_conservation,Spate / floodwater harvesting,"Diversion and spreading of ephemeral flood flows (spate irrigation, jessour, water spreading).",water_harvesting__spate,Ephemeral channel / wadi presence + sediment load.,zonal_linear,PARKED: ephemeral-channel gated; thin in stocktake; own family vs fold into ex-situ is a scope Q.,"[""Critchley & Siegert 1991 (FAO)"", ""reference/stocktake/peer_reviewed_benchmarked.csv"", ""methodology/recipes/water_harvesting.md""]"
planted_grass_filter_strip,riparian_buffer,Planted grass/herbaceous filter strip,Established herbaceous strip along a watercourse to intercept sediment and nutrients from adjacent runoff.,riparian_buffer__planted,watercourse proximity + riparian slope/width + adjacent-cropland runoff load + planting,zonal_linear,Planted along-stream placement gated by watercourse proximity + adjacent-land load; grass vs woody is a parameter.,"[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Mayer et al. 2007 (riparian buffer N removal)"", ""InVEST nutrient retention""]"
planted_woody_buffer,riparian_buffer,Planted woody/forested riparian buffer,"Established trees/shrubs along a watercourse for bank stability, shade and habitat.",riparian_buffer__planted,watercourse proximity + riparian slope/width + planting envelope,zonal_linear,Same along-stream planted placement limiter as grass strips (vegetation type = parameter).,"[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Mayer et al. 2007 (riparian buffer N removal)"", ""InVEST nutrient retention""]"
riparian_natural_regeneration,riparian_buffer,Riparian natural regeneration,Protect/allow natural regeneration of existing riparian vegetation.,riparian_buffer__natural_restored,watercourse proximity + existing riparian condition / regeneration potential + hydro-connectivity,zonal_linear,Restoration-based (not planted): gated by existing riparian condition/regen potential.,"[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Mayer et al. 2007 (riparian buffer N removal)"", ""InVEST nutrient retention""]"
riparian_reforestation,riparian_buffer,Riparian reforestation,Restore degraded riparian banks by re-establishing woody vegetation.,riparian_buffer__natural_restored,watercourse proximity + degradation/regen potential of the riparian zone,zonal_linear,"Grouped with natural regeneration: restoration limiter, distinct from planted-buffer establishment.","[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Mayer et al. 2007 (riparian buffer N removal)"", ""InVEST nutrient retention""]"
floodplain_reconnection,riparian_buffer,Floodplain / hydro-reconnection,"Reconnect channel and floodplain (sidearms, bank-armour removal, floodplain restoration).",riparian_buffer__floodplain_reconnection,channel-floodplain hydro-geomorphic connectivity; bank/levee state,zonal_linear,PARKED: river-restoration hydro-geomorphic driver; own-NbS scope question pending sign-off.,"[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Mayer et al. 2007 (riparian buffer N removal)"", ""InVEST nutrient retention""]"
wetland_restoration,wetland_management,Wetland restoration / rewetting,"Restore a degraded/drained wetland by restoring hydrology (block drainage, re-flood).",wetland_management__restoration_rewetting,"former/degraded wetland extent + hydrology (water table, drainage history, connectivity)",area_suitability,Restore-what-was: gated by degraded wetland extent + hydrology; distinct from creating new wetlands.,"[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Ramsar wetland restoration guidance"", ""paludiculture literature""]"
drainage_blocking,wetland_management,Drainage blocking / re-flooding,Block artificial drainage to raise the water table and re-flood a former wetland.,wetland_management__restoration_rewetting,drainage state + water table + former wetland extent,area_suitability,Rewetting mechanism within restoration; same degraded-extent + hydrology limiter.,"[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Ramsar wetland restoration guidance"", ""paludiculture literature""]"
floodplain_wetland_reconnection,wetland_management,Floodplain wetland reconnection,Reconnect a floodplain wetland body to its water source.,wetland_management__restoration_rewetting,hydro-connectivity + former floodplain-wetland extent,area_suitability,Restoration by reconnection; targets the wetland body (cf. riparian streamside strip).,"[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Ramsar wetland restoration guidance"", ""paludiculture literature""]"
wetland_creation,wetland_management,Wetland creation,"Create a new wetland where none currently exists (water storage, habitat, nutrient interception).",wetland_management__creation,water availability + low-lying/depression terrain + soil permeability + currently-not-wetland,area_suitability,"Siting a NEW wetland on non-wetland land: terrain/water-availability limiter, distinct from restore.","[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Ramsar wetland restoration guidance"", ""paludiculture literature""]"
wetland_reconstruction,wetland_management,Wetland reconstruction,Reconstruct/engineer a wetland form on non-wetland land.,wetland_management__creation,terrain + water availability + soil,area_suitability,Grouped with creation: new-wetland siting limiter.,"[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Ramsar wetland restoration guidance"", ""paludiculture literature""]"
peatland_rewetting,wetland_management,Peatland rewetting,Rewet drained peatland to halt subsidence and restore peat function.,wetland_management__peatland,peat soil presence + drainage state + water table,area_suitability,Peat-specific: peat soil layer + subsidence + carbon make it a distinct variable set.,"[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Ramsar wetland restoration guidance"", ""paludiculture literature""]"
paludiculture,wetland_management,Paludiculture,"Productive use of wet/rewetted peat (wet meadow/pasture, reed).",wetland_management__peatland,peat soil + high water table + suitable wet crop,area_suitability,Wet farming of peat; grouped with peatland rewetting by the peat-soil + water-table limiter.,"[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Ramsar wetland restoration guidance"", ""paludiculture literature""]"
constructed_treatment_wetland,wetland_management,Constructed / treatment wetland,Engineered wetland for point-source / agricultural-drainage treatment (e.g. HSSF-CW).,wetland_management__constructed,"point-source / ag-drainage load + engineered siting (area, slope, inflow)",qualitative_only,"PARKED: treatment/engineering siting problem (peri-urban/point-source), scope Q for a rural landscape scan.","[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Ramsar wetland restoration guidance"", ""paludiculture literature""]"
tidal_marsh_restoration,wetland_management,Tidal marsh / coastal wetland restoration,Restore coastal tidal marsh / salt marsh.,wetland_management__coastal,"coastal hydrology: tidal inundation, salinity, elevation",area_suitability,PARKED: coastal-hydrology driver; same coastal scope Q as forest-restoration mangroves.,"[""reference/stocktake/peer_reviewed_benchmarked.csv"", ""Ramsar wetland restoration guidance"", ""paludiculture literature""]"
